"legacyField","storageOwner","cardinality","currentConsumerModule","consumerLocation","currentRuntimeMeaning","targetLayer","targetRelation","conversionMode","derivationMode","rawSourcePresenceRule","compatibilityStatus","removalGate","parityRisk","knownIssueIds","notes"
"accessoryContributionGroup","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","MUSCLE","ExerciseMuscleContribution","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryContributionGroup","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceLoadingBuilder.kt","Persisted or resolved exercise property used by shared metadata/data code","MUSCLE","ExerciseMuscleContribution","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryContributionGroup","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","MUSCLE","ExerciseMuscleContribution","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryContributionGroup","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SeedData.kt","Persisted or resolved exercise property used by shared metadata/data code","MUSCLE","ExerciseMuscleContribution","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryRoles","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryRoles","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryRoles","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SeedData.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryRoles","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"accessoryRoles","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/contracts/UserExerciseAnalysisContractProjector.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
