"summaryType","key","count","details"
"AUTO_CANDIDATE_ROWS","AUTO_CANDIDATE","44","Consumer-specific candidates requiring review"
"LEGACY_COMPATIBILITY_ONLY","activityKind","100","Target relation NONE"
"LEGACY_COMPATIBILITY_ONLY","familyId","18","Target relation NONE"
"LEGACY_COMPATIBILITY_ONLY","loadProfile","25","Target relation NONE"
"LEGACY_COMPATIBILITY_ONLY","progressMetricType","96","Target relation NONE"
"MAPPING_STATUS_COUNT","AUTO_CANDIDATE","44",""
"MAPPING_STATUS_COUNT","SEMANTICALLY_REVIEWED","203",""
"MAPPING_STATUS_COUNT","UNRESOLVED","4247",""
"MULTIPLE_SEMANTIC_DESTINATIONS","analysisEligibility","8","FIXED_EXERCISE_RELATION:BADMINTON:ExerciseAnalysisCapability(BADMINTON_TRANSFER);FIXED_EXERCISE_RELATION:OFI:ExerciseAnalysisCapability(OFI);FIXED_EXERCISE_RELATION:STRENGTH_PERFORMANCE:ExerciseAnalysisCapability(STRENGTH_PERFORMANCE);PRESENTATION_ONLY:PRESENTATION:NONE;PROGRAM_POLICY:PROGRAM_GENERATION:ExercisePlanningProfile;PROGRAM_POLICY:PROGRAM_GENERATION:ExerciseProgramBlockCapability;PROVENANCE_ONLY:PROVENANCE_REVIEW:NONE;UNRESOLVED:UNRESOLVED:NONE"
"SEMANTIC_USE_COUNT","FIXED_EXERCISE_RELATION","49",""
"SEMANTIC_USE_COUNT","FIXED_PROGRAM_PARAMETER","37",""
"SEMANTIC_USE_COUNT","LEGACY_COMPATIBILITY","239",""
"SEMANTIC_USE_COUNT","PRESENTATION_ONLY","6",""
"SEMANTIC_USE_COUNT","PROGRAM_POLICY","6",""
"SEMANTIC_USE_COUNT","PROVENANCE_ONLY","10",""
"SEMANTIC_USE_COUNT","UNRESOLVED","4147",""
"TARGET_LAYER_COUNT","BADMINTON","8",""
"TARGET_LAYER_COUNT","BADMINTON_ANALYSIS","27",""
"TARGET_LAYER_COUNT","DERIVED_NONCANONICAL","18",""
