"exerciseStableKey","displayNameKo","proposedLegacyRole","evidenceType","evidenceFileOrCommit","evidenceLocator","evidenceLineageId","confidence","reconstructionStatus","currentRuntimeRole","proposedRuntimeRole","programmeImpact","notes"
"barbell_romanian_deadlift","루마니안 바벨 데드리프트","MAIN_STRENGTH","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=barbell_romanian_deadlift;training_role=MAIN_STRENGTH","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","MAIN_STRENGTH","MAIN_STRENGTH","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"dumbbell_romanian_deadlift","루마니안 덤벨 데드리프트","MAIN_STRENGTH","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=dumbbell_romanian_deadlift;training_role=MAIN_STRENGTH","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","MAIN_STRENGTH","MAIN_STRENGTH","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_314df428","원레그 홉 투 스틱","PLYOMETRIC","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_314df428;training_role=PLYOMETRIC","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","PLYOMETRIC","PLYOMETRIC","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_33841b88","6코너 풋워크","SPEED_REACTIVE","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_33841b88;training_role=SPEED_REACTIVE","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","SPEED_REACTIVE","SPEED_REACTIVE","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_34e7d21","래터럴 바운드 투 스틱","PLYOMETRIC","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_34e7d21;training_role=PLYOMETRIC","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","PLYOMETRIC","PLYOMETRIC","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_462c760e","체스트 서포티드 원암 머신 로우","SECONDARY_STRENGTH","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_462c760e;training_role=SECONDARY_STRENGTH","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","SECONDARY_STRENGTH","SECONDARY_STRENGTH","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_5322f2d1","원암 케이블 트라이셉스 푸시다운","ACCESSORY","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_5322f2d1;training_role=ACCESSORY","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","ACCESSORY","ACCESSORY","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_5ca7133f","원레그 카프 레이즈","ACCESSORY","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_5ca7133f;training_role=ACCESSORY","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","ACCESSORY","ACCESSORY","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_85f12271","원레그 박스 스쿼트","STABILITY","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_85f12271;training_role=STABILITY","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","STABILITY","STABILITY","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
"ex_8824026f","원레그 레그 컬","PLYOMETRIC","CHECKED_IN_EXPLICIT_STABLEKEY_ASSIGNMENT","app/src/main/assets/training_settings_seed.csv","stable_key=ex_8824026f;training_role=PLYOMETRIC","LEGACY-TRAINING-ROLE-SEED-V1","HIGH","CONFIRMED_EXPLICIT","PLYOMETRIC","PLYOMETRIC","EXPECTED_TRAINING_ROLE_POLICY_RESTORATION","Exact stableKey whitelist only; not promoted to final ProgramRoleRef"
