stableKey,korean,english,source,status
ex_ac7df636,고블릿 스쿼트,Goblet Squat,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_d20b7487,라잉 트라이셉스 익스텐션,Lying Triceps Extension,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_8e18b02a,리버스 리스트 컬,Reverse Wrist Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_dd2f732e,리버스 컬,Reverse Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_7176cbee,리어델트 플라이,Rear Delt Fly,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_bd072cd,스탠딩 카프 레이즈,Standing Calf Raise,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_516f4456,스파이더 컬,Spider Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_a9e8859c,오버헤드 트라이셉스 익스텐션,Overhead Triceps Extension,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
single_leg_rdl,원레그 루마니안 데드리프트,Single-Leg Romanian Deadlift,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_d9084b5e,원암 인버티드 로우,Single-Arm Inverted Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_e159d15a,인버티드 로우,Inverted Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_8e51640a,체스트 서포티드 로우,Chest-Supported Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_a1fc4533,파머스 캐리,Farmer's Carry,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_99728d25,팔로프 프레스,Pallof Press,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_e994008a,프리처 컬,Preacher Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_eaea872c,힙 어덕션,Hip Adduction,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
