metric,value
koreanUiResourceCount,4249
existingEnglishResourceCount,4257
totalProductionUiResourceCount,4259
currentBaselineCheckRequired,0
unexplainedEnglishModeKoreanLeakCount,0
unexplainedProductionLeakCount,0
builtInExerciseCount,257
localizedExerciseNameCount,257
localizedExerciseDescriptionCount,257
localizedSeedProgramNameCount,12
historyOnlyExerciseNameCount,16
invalidEnglishPlaceholderCount,0
approvedLocalizedPresentationCount,5096
codexGeneratedEnglishCount,4002
userContentPassthroughCount,1
canonicalNonDisplayCount,523
internalDebugCount,40
