fieldScope,fieldKey,ownershipPolicy,valueEncoding,valueKind,displayDomain,localizationMode,displayDisposition,allowsUserFreeText,supportsExplicitEmpty,preservesTokenOrder,editorWritable,sourceCodeOwner,semanticNormalizerSchemaVersion
DENORMALIZED_REFERENCE,programItem.exerciseName,CURRENT_CANONICAL_NAME,STRING,EXERCISE_REFERENCE,,EXERCISE_NAME_CATALOGUE,PRODUCTION_UI,false,false,false,false,BackupRestoreImportService,1
DENORMALIZED_REFERENCE,workout.exerciseName,CURRENT_CANONICAL_NAME,STRING,EXERCISE_REFERENCE,,EXERCISE_NAME_CATALOGUE,PRODUCTION_UI,false,false,false,false,BackupRestoreImportService,1
DERIVED_ANALYSIS,derived.connectiveTissueState,DERIVED_REBUILD,STRING,CANONICAL_TOKEN,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,false,false,false,AnalysisRebuild,1
DERIVED_ANALYSIS,derived.fatigueAnalysis,DERIVED_REBUILD,STRING,CANONICAL_TOKEN,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,false,false,false,AnalysisRebuild,1
DERIVED_ANALYSIS,derived.performanceTrend,DERIVED_REBUILD,STRING,CANONICAL_TOKEN,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,false,false,false,AnalysisRebuild,1
DERIVED_ANALYSIS,derived.strengthPosterior,DERIVED_REBUILD,STRING,CANONICAL_TOKEN,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,false,false,false,AnalysisRebuild,1
EXERCISE,exercise.accessoryContributionGroup,USER_OVERRIDE_ELIGIBLE,STRING,CANONICAL_TOKEN,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,true,false,true,Exercise,1
EXERCISE,exercise.accessoryRoles,USER_OVERRIDE_ELIGIBLE,TOKEN_SET,CANONICAL_TOKEN_SET,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,true,false,true,Exercise,1
EXERCISE,exercise.activityKind,USER_OVERRIDE_ELIGIBLE,STRING,CANONICAL_TOKEN,ACTIVITY_KIND,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.adaptiveBaselineGroups,USER_OVERRIDE_ELIGIBLE,TOKEN_SET,CANONICAL_TOKEN_SET,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,true,false,true,Exercise,1
EXERCISE,exercise.analysisEligibility,USER_OVERRIDE_ELIGIBLE,TOKEN_SET,CANONICAL_TOKEN_SET,ANALYSIS_ELIGIBILITY,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.antiRotationWeight,USER_OVERRIDE_ELIGIBLE,DOUBLE,DECIMAL,,LOCALE_FORMATTER,ADVANCED_EDITOR,false,false,false,true,Exercise,1
EXERCISE,exercise.archivedAt,USER_STATE,LONG,DURATION,,NEVER_DISPLAY,NON_DISPLAY_IDENTIFIER,false,false,false,false,Exercise,1
EXERCISE,exercise.axialLoadLevel,USER_OVERRIDE_ELIGIBLE,STRING,CANONICAL_TOKEN,AXIAL_LOAD,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.badmintonSkillTargets,USER_OVERRIDE_ELIGIBLE,TOKEN_SET,CANONICAL_TOKEN_SET,BADMINTON_SKILL_TARGET,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.badmintonTransferRoles,USER_OVERRIDE_ELIGIBLE,TOKEN_SET,CANONICAL_TOKEN_SET,BADMINTON_TRANSFER_TYPE,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.badmintonTransferStrength,USER_OVERRIDE_ELIGIBLE,STRING,CANONICAL_TOKEN,BADMINTON_TRANSFER_LEVEL,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.balanceContributionTags,USER_OVERRIDE_ELIGIBLE,TOKEN_SET,CANONICAL_TOKEN_SET,BADMINTON_PHYSICAL_QUALITY,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.bodyRegion,USER_OVERRIDE_ELIGIBLE,STRING,CANONICAL_TOKEN,BODY_REGION,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
EXERCISE,exercise.category,USER_OVERRIDE_ELIGIBLE,STRING,FREE_TEXT,EXERCISE_CATEGORY,METADATA_DISPLAY_CATALOGUE_OR_USER_TEXT_PASSTHROUGH,ADVANCED_EDITOR,true,true,false,true,Exercise,1
EXERCISE,exercise.compoundType,USER_OVERRIDE_ELIGIBLE,STRING,CANONICAL_TOKEN,COMPOUND_TYPE,METADATA_DISPLAY_CATALOGUE,ADVANCED_EDITOR,false,true,false,true,Exercise,1
