resourceKey,korean,english,scope,sourcePath,sourceLineOrSymbol,classification,status,placeholderSignature,pluralRequired,notes
analysis_guide_axes_body,"무거운 힘, 전신, 특정 근육, 빠른 동작, 반응성 동작의 피로를 서로 다른 축으로 확인합니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_axes_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_axes_title,다섯 가지 피로 축,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_axes_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_calibration_note,기록이 적은 초기에는 개인 기준이 충분하지 않아 결과가 제한적일 수 있습니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_calibration_note,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_distribution_body,근력운동과 배드민턴 훈련이 특정 부위나 목적에 지나치게 집중되지 않았는지 확인합니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_distribution_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_distribution_title,훈련 분산,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_distribution_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_high_score_body,"최근 기록보다 부담이 많이 쌓였다는 신호로 해석하되, 실제 수행감·통증·불안정감과 함께 판단합니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_high_score_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_high_score_title,점수가 높을 때,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_high_score_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_intro,"분석 결과는 절대적인 건강 판정이 아니라, 내 운동 기록에서 피로와 부하의 흐름을 확인하기 위한 정보입니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_intro,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_muscles_body,국소 근육 분석에서는 현재 피로가 많이 남아 있는 근육을 우선해서 보여줍니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_muscles_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_muscles_title,피로한 근육,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_muscles_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_open_description,분석 결과 읽는 법 열기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_open_description,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_overall_body,다섯 가지 피로 축을 종합해 현재 운동 부담의 전반적인 상태를 보여줍니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_overall_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_overall_title,전체 피로 상태,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_overall_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
