displayField,canonicalCode,sourceFiles,productionUsageCount,currentKoreanLabel,currentEnglishLabel,coverageStatus,rawUiExposureLocations
ACTIVITY_KIND,EXERCISE,app/src/main/assets/metadata/canonical_v1,1,운동,Exercise,RETAIN,
ACTIVITY_KIND,SPORT_SESSION,app/src/main/assets/metadata/canonical_v1,1,스포츠 세션,Sport session,RETAIN,
ANALYSIS_ELIGIBILITY,ACCESSORY_VOLUME,app/src/main/assets/metadata/canonical_v1,1,보조 볼륨,Accessory volume,RETAIN,
ANALYSIS_ELIGIBILITY,BADMINTON_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,배드민턴 보조,Badminton supportive,RETAIN,
ANALYSIS_ELIGIBILITY,BADMINTON_TRANSFER,app/src/main/assets/metadata/canonical_v1,1,배드민턴 전이,Badminton transfer,RETAIN,
ANALYSIS_ELIGIBILITY,BALANCE,app/src/main/assets/metadata/canonical_v1,1,균형,Balance,RETAIN,
ANALYSIS_ELIGIBILITY,CONDITIONING,app/src/main/assets/metadata/canonical_v1,1,컨디셔닝,Conditioning,RETAIN,
ANALYSIS_ELIGIBILITY,CONTROL,app/src/main/assets/metadata/canonical_v1,1,제어,Control,RETAIN,
ANALYSIS_ELIGIBILITY,COORDINATION,app/src/main/assets/metadata/canonical_v1,1,협응,Coordination,RETAIN,
ANALYSIS_ELIGIBILITY,CORE_ACCESSORY,app/src/main/assets/metadata/canonical_v1,1,코어 보조,Core accessory,RETAIN,
ANALYSIS_ELIGIBILITY,CORE_STABILITY,app/src/main/assets/metadata/canonical_v1,1,코어 안정성,Core stability,RETAIN,
ANALYSIS_ELIGIBILITY,EXCLUDED_FROM_ANALYSIS,app/src/main/assets/metadata/canonical_v1,0,Excluded From Analysis,Excluded from analysis,RETAINED_SEARCH_ONLY,
ANALYSIS_ELIGIBILITY,FATIGUE,app/src/main/assets/metadata/canonical_v1,1,피로도,Fatigue,RETAIN,
ANALYSIS_ELIGIBILITY,FATIGUE_LOW,app/src/main/assets/metadata/canonical_v1,1,저피로도,Fatigue low,RETAIN,
ANALYSIS_ELIGIBILITY,HYPERTROPHY_VOLUME,app/src/main/assets/metadata/canonical_v1,1,근비대 볼륨,Hypertrophy volume,RETAIN,
ANALYSIS_ELIGIBILITY,MOBILITY,app/src/main/assets/metadata/canonical_v1,1,가동성,Mobility,RETAIN,
ANALYSIS_ELIGIBILITY,PATTERN_QUALITY,app/src/main/assets/metadata/canonical_v1,1,패턴 품질,Pattern quality,RETAIN,
ANALYSIS_ELIGIBILITY,RECOVERY_CONTEXT,app/src/main/assets/metadata/canonical_v1,1,회복 맥락,Recovery context,RETAIN,
ANALYSIS_ELIGIBILITY,RECOVERY_ONLY,app/src/main/assets/metadata/canonical_v1,1,회복 분석만,Recovery only,RETAIN,
ANALYSIS_ELIGIBILITY,SESSION_LOAD,app/src/main/assets/metadata/canonical_v1,1,세션 부하,Session load,RETAIN,
ANALYSIS_ELIGIBILITY,SHOULDER_STABILITY,app/src/main/assets/metadata/canonical_v1,1,어깨 안정성,Shoulder stability,RETAIN,
ANALYSIS_ELIGIBILITY,SPORT_SESSION_LOAD,app/src/main/assets/metadata/canonical_v1,1,스포츠 세션 부하,Sport session load,RETAIN,
ANALYSIS_ELIGIBILITY,STRENGTH_PROGRESS,app/src/main/assets/metadata/canonical_v1,1,근력 진행,Strength progress,RETAIN,
ANALYSIS_ELIGIBILITY,STRENGTH_VOLUME,app/src/main/assets/metadata/canonical_v1,1,근력 볼륨,Strength volume,RETAIN,
ANALYSIS_ELIGIBILITY,TEST_METRIC,app/src/main/assets/metadata/canonical_v1,1,테스트 지표,Test metric,RETAIN,
ANALYSIS_ELIGIBILITY,TEST_ONLY,app/src/main/assets/metadata/canonical_v1,0,테스트 만,Test only,RETAINED_SEARCH_ONLY,
AXIAL_LOAD,HIGH,app/src/main/assets/metadata/canonical_v1,36,높음,High,RETAIN,
AXIAL_LOAD,LOW,app/src/main/assets/metadata/canonical_v1,7,낮음,Low,RETAIN,
AXIAL_LOAD,MODERATE,app/src/main/assets/metadata/canonical_v1,33,보통,Moderate,RETAIN,
AXIAL_LOAD,NONE,app/src/main/assets/metadata/canonical_v1,0,없음,None,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,ACCELERATION,app/src/main/assets/metadata/canonical_v1,1,가속,Acceleration,RETAIN,
BADMINTON_PHYSICAL_QUALITY,AEROBIC_BASE,app/src/main/assets/metadata/canonical_v1,1,유산소 기초,Aerobic base,RETAIN,
BADMINTON_PHYSICAL_QUALITY,ANAEROBIC_REPEATABILITY,app/src/main/assets/metadata/canonical_v1,1,무산소 반복 능력,Anaerobic repeatability,RETAIN,
BADMINTON_PHYSICAL_QUALITY,ANKLE_STIFFNESS,app/src/main/assets/metadata/canonical_v1,1,발목 강성,Ankle stiffness,RETAIN,
BADMINTON_PHYSICAL_QUALITY,ANTERIOR_CHAIN,app/src/main/assets/metadata/canonical_v1,0,전면 운동사슬,Anterior chain,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,ANTI_ROTATION,app/src/main/assets/metadata/canonical_v1,0,항 회전,Anti rotation,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,ANTI_ROTATION_STABILITY,app/src/main/assets/metadata/canonical_v1,1,항 회전 안정성,Anti rotation stability,RETAIN,
BADMINTON_PHYSICAL_QUALITY,CALF_ACHILLES,app/src/main/assets/metadata/canonical_v1,0,종아리 아킬레스,Calf achilles,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,CALF_ELASTICITY,app/src/main/assets/metadata/canonical_v1,1,종아리 탄성,Calf elasticity,RETAIN,
BADMINTON_PHYSICAL_QUALITY,CORE_BRACING,app/src/main/assets/metadata/canonical_v1,1,코어 브레이싱,Core bracing,RETAIN,
BADMINTON_PHYSICAL_QUALITY,CROSSOVER,app/src/main/assets/metadata/canonical_v1,0,Crossover,Crossover,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,DECELERATION,app/src/main/assets/metadata/canonical_v1,1,감속,Deceleration,RETAIN,
BADMINTON_PHYSICAL_QUALITY,FIRST_STEP,app/src/main/assets/metadata/canonical_v1,0,첫 스텝,First step,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,FRONTAL_PLANE_CONTROL,app/src/main/assets/metadata/canonical_v1,1,전두면 제어,Frontal plane control,RETAIN,
BADMINTON_PHYSICAL_QUALITY,FRONT_LUNGE,app/src/main/assets/metadata/canonical_v1,0,Front 런지,Front lunge,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,GRIP_ENDURANCE,app/src/main/assets/metadata/canonical_v1,1,그립 지구력,Grip endurance,RETAIN,
BADMINTON_PHYSICAL_QUALITY,GRIP_FOREARM,app/src/main/assets/metadata/canonical_v1,0,그립 전완,Grip forearm,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,HINGE,app/src/main/assets/metadata/canonical_v1,0,힌지,Hinge,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,HIP_CONTROL,app/src/main/assets/metadata/canonical_v1,1,고관절 제어,Hip control,RETAIN,
BADMINTON_PHYSICAL_QUALITY,HIP_KNEE_EXTENSION_STRENGTH,app/src/main/assets/metadata/canonical_v1,1,고관절 무릎 신전 근력,Hip knee extension strength,RETAIN,
BADMINTON_PHYSICAL_QUALITY,HIP_STABILITY,app/src/main/assets/metadata/canonical_v1,0,고관절 안정성,Hip stability,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,JUMP_LANDING,app/src/main/assets/metadata/canonical_v1,0,점프 착지,Jump landing,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,KNEE_CONTROL,app/src/main/assets/metadata/canonical_v1,0,무릎 제어,Knee control,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,LATERAL_MOVE,app/src/main/assets/metadata/canonical_v1,0,측면 Move,Lateral move,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,LOWER_BODY_FORCE,app/src/main/assets/metadata/canonical_v1,1,하체 힘,Lower body force,RETAIN,
BADMINTON_PHYSICAL_QUALITY,LOWER_PULL,app/src/main/assets/metadata/canonical_v1,0,하체 당기기,Lower pull,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,LOWER_PUSH,app/src/main/assets/metadata/canonical_v1,0,하체 밀기,Lower push,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,MULTI_DIRECTION,app/src/main/assets/metadata/canonical_v1,0,다방향 방향,Multi direction,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,NONE,app/src/main/assets/metadata/canonical_v1,0,없음,None,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,POSTERIOR_CHAIN,app/src/main/assets/metadata/canonical_v1,1,후면 운동사슬,Posterior chain,RETAIN,
BADMINTON_PHYSICAL_QUALITY,REACTION_RANDOM,app/src/main/assets/metadata/canonical_v1,0,반응 Random,Reaction random,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,REACTIVE_AGILITY,app/src/main/assets/metadata/canonical_v1,1,반응성 민첩성,Reactive agility,RETAIN,
BADMINTON_PHYSICAL_QUALITY,REAR_COURT,app/src/main/assets/metadata/canonical_v1,0,후면 코트,Rear court,RETAINED_SEARCH_ONLY,
