exerciseStableKey,exerciseNameKo,identityStatus,transferLevel,transferTypeCodes,skillTargetCodes,physicalQualityCodes,courtMovementTypeCodes,transferConfidence,sourceStableKey,inheritanceSourceStableKey,identityResolution,reviewStatus,evidenceSource,provenance,notes
band_lift,밴드 리프트,SELECTABLE_CANONICAL,SUPPORTIVE,ROTATION_POWER_SUPPORTIVE,ROTATION_SEQUENCING,CORE_BRACING|ROTATIONAL_CONTROL,NONE,MEDIUM,band_lift,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
band_pallof_press,밴드 팔로프 프레스,SELECTABLE_CANONICAL,SUPPORTIVE,CORE_STABILITY_SUPPORTIVE,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE,CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_99728d25,ex_99728d25,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
band_woodchop,밴드 우드찹,SELECTABLE_CANONICAL,SUPPORTIVE,ROTATION_POWER_SUPPORTIVE,ROTATION_SEQUENCING,CORE_BRACING|ROTATIONAL_CONTROL,NONE,MEDIUM,band_woodchop,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
barbell_back_squat,스쿼트,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,barbell_back_squat,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
barbell_bench_press,벤치프레스,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,barbell_bench_press,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
barbell_deadlift,데드리프트,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,barbell_deadlift,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
barbell_reverse_curl,바벨 리버스 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_dd2f732e,ex_dd2f732e,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_dd2f732e,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,SELECTABLE_CANONICAL,SUPPORTIVE,GRIP_WRIST_SUPPORTIVE,DRIVE|NET_PLAY,GRIP_ENDURANCE,NONE,LOW,ex_8e18b02a,ex_8e18b02a,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
barbell_romanian_deadlift,루마니안 바벨 데드리프트,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,barbell_romanian_deadlift,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
cable_hip_adduction,케이블 힙 어덕션,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_eaea872c,ex_eaea872c,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_eaea872c,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
cable_lift,케이블 리프트,SELECTABLE_CANONICAL,SUPPORTIVE,ROTATION_POWER_SUPPORTIVE,ROTATION_SEQUENCING,CORE_BRACING|ROTATIONAL_STRENGTH,NONE,MEDIUM,cable_lift,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_a9e8859c,ex_a9e8859c,EQUIPMENT_VARIANT_SPLIT,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
cable_pallof_press,케이블 팔로프 프레스,SELECTABLE_CANONICAL,SUPPORTIVE,CORE_STABILITY_SUPPORTIVE,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE,CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_99728d25,ex_99728d25,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
cable_rear_delt_fly,케이블 리어델트 플라이,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_7176cbee,ex_7176cbee,EQUIPMENT_VARIANT_SPLIT,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
cable_woodchop,케이블 우드찹,SELECTABLE_CANONICAL,SUPPORTIVE,ROTATION_POWER_SUPPORTIVE,ROTATION_SEQUENCING,CORE_BRACING|ROTATIONAL_STRENGTH,NONE,MEDIUM,cable_woodchop,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
chest_supported_row_machine,체스트 서포티드 로우 머신,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_8e51640a,ex_8e51640a,EQUIPMENT_VARIANT_SPLIT,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_8e51640a,ex_8e51640a,EQUIPMENT_VARIANT_SPLIT,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_farmer_carry,덤벨 파머스 캐리,SELECTABLE_CANONICAL,SUPPORTIVE,CORE_STABILITY_SUPPORTIVE,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE,CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_a1fc4533,ex_a1fc4533,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_a1fc4533,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,ex_ac7df636,ex_ac7df636,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_ac7df636,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_d20b7487,ex_d20b7487,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_d20b7487,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_a9e8859c,ex_a9e8859c,EQUIPMENT_VARIANT_SPLIT,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_preacher_curl,덤벨 프리처 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_e994008a,ex_e994008a,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_e994008a,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_rear_delt_fly,덤벨 리어델트 플라이,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_7176cbee,ex_7176cbee,EQUIPMENT_VARIANT_SPLIT,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,SELECTABLE_CANONICAL,SUPPORTIVE,GRIP_WRIST_SUPPORTIVE,DRIVE|NET_PLAY,GRIP_ENDURANCE,NONE,LOW,ex_8e18b02a,ex_8e18b02a,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,dumbbell_romanian_deadlift,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,single_leg_rdl,single_leg_rdl,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_single_leg_rdl,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_spider_curl,덤벨 스파이더 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_516f4456,ex_516f4456,EQUIPMENT_VARIANT_SPLIT,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456,Equipment-specific identity inherits the reviewed broad badminton-transfer meaning; identity/equipment fields remain variant-specific.
dumbbell_woodchop,덤벨 우드찹,SELECTABLE_CANONICAL,SUPPORTIVE,ROTATION_POWER_SUPPORTIVE,ROTATION_SEQUENCING,CORE_BRACING|ROTATIONAL_STRENGTH,NONE,MEDIUM,dumbbell_woodchop,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_1052e9fa,스미스 머신 런지,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_1052e9fa,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_149730de,발목/고관절 가동성,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_149730de,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_16b298db,미니밴드 사이드워크,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_16b298db,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_1a4858d7,농구,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_1a4858d7,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_1a4bbdcf,축구,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_1a4bbdcf,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_1c7f2342,랜덤 풋워크,SELECTABLE_CANONICAL,DIRECT,CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP,ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_1c7f2342,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_1cf51b6b,노르딕 햄스트링 컬,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,MEDIUM,ex_1cf51b6b,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
