sourceStableKey,finalStableKey,inheritanceDecision,inheritedFields,changedFields,reviewStatus,rationale,provenance
ex_bd072cd,standing_bodyweight_calf_raise,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_bd072cd
ex_bd072cd,standing_dumbbell_calf_raise,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_bd072cd
ex_bd072cd,standing_calf_raise_machine,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_bd072cd
ex_8e51640a,dumbbell_chest_supported_row,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a
ex_8e51640a,chest_supported_row_machine,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a
ex_eaea872c,cable_hip_adduction,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_eaea872c
ex_eaea872c,hip_adduction_machine,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_eaea872c
ex_d9084b5e,one_arm_suspension_trainer_row,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_d9084b5e
ex_d9084b5e,one_arm_gymnastic_ring_row,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_d9084b5e
ex_e159d15a,suspension_trainer_inverted_row,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_e159d15a
