sourceStableKey,sourceExerciseName,finalStableKey,finalExerciseName,identityResolution,sourceSelectable,finalSelectable,relationMigrationAction,notes
ex_e3487166,원암 로우,,,DROP_CANDIDATE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DROP_DELETED_EXERCISE_WITH_WARNING; no selectable badminton relation is created.
imported_csv_복원_계획,CSV 복원 계획,,,DROP_CANDIDATE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DROP_PLACEHOLDER_WITH_WARNING; no selectable badminton relation is created.
imported_csv_복원_근력운동,CSV 복원 근력운동,,,DROP_CANDIDATE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DROP_PLACEHOLDER_WITH_WARNING; no selectable badminton relation is created.
imported_csv_복원_기능성운동,CSV 복원 기능성운동,,,DROP_CANDIDATE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DROP_PLACEHOLDER_WITH_WARNING; no selectable badminton relation is created.
imported_csv_복원_스포츠,CSV 복원 스포츠,,,DROP_CANDIDATE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DROP_PLACEHOLDER_WITH_WARNING; no selectable badminton relation is created.
ex_516f4456,스파이더 컬,dumbbell_spider_curl,덤벨 스파이더 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_516f4456,스파이더 컬,ez_bar_spider_curl,EZ바 스파이더 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_7176cbee,리어델트 플라이,cable_rear_delt_fly,케이블 리어델트 플라이,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_7176cbee,리어델트 플라이,dumbbell_rear_delt_fly,덤벨 리어델트 플라이,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_8e18b02a,리버스 리스트 컬,barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_8e18b02a,리버스 리스트 컬,dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_8e51640a,체스트 서포티드 로우,chest_supported_row_machine,체스트 서포티드 로우 머신,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_8e51640a,체스트 서포티드 로우,dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
