"stableKey","name","category","equipment","movementPattern","movementCategory","trainingRole","tissueProfileAction","metadataBasis"
"single_leg_rdl","원레그 루마니안 데드리프트","기능성운동","BARBELL|DUMBBELL|KETTLEBELL","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","MAIN_STRENGTH","REBUILD","최종 동작 정의를 기준으로 신규 작성; 기존 4행의 태그 합산·평균 금지"
"ex_8633d8db","EZ바 컬","근력운동","EZ바","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","","",""
"ex_644e0f9d","V업","근력운동","맨몸","CORE_FLEXION|ANTERIOR_CORE|HIP_FLEXOR_ACCESSORY","ACCESSORY","","",""
"ex_8e4bf08e","Yates Row","근력운동","바벨","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","","",""
"ex_389920ab","글루트 브릿지","근력운동","바벨|맨몸","HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY","STRENGTH","","",""
"ex_e4f911bb","네거티브 풀업","근력운동","맨몸","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|ECCENTRIC_PULLING","STRENGTH","","",""
"ex_debf6a8b","다이아몬드 푸시업","근력운동","맨몸","PUSH_HORIZONTAL|CHEST_STRENGTH|TRICEPS_EMPHASIS","STRENGTH","","",""
"ex_93538692","덤벨 래터럴 레이즈","근력운동","덤벨","SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY","ACCESSORY","","",""
"dumbbell_romanian_deadlift","루마니안 덤벨 데드리프트","근력운동","DUMBBELL","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","STRENGTH","MAIN_STRENGTH","SPLIT_RECALIBRATE","덤벨 RDL 기존 프로필을 재검토해 덤벨 전용으로 정본화"
"ex_72f11dc5","덤벨 리스트 익스텐션","근력운동","덤벨","WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT","ACCESSORY","","",""
"ex_95028bfe","덤벨 리스트 컬","근력운동","덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","","",""
"ex_3a7d3eda","덤벨 벤치프레스","근력운동","덤벨|벤치","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","","",""
"ex_79f3bdbe","덤벨 숄더프레스","근력운동","덤벨","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","","",""
"ex_704cbf1a","덤벨 스텝업","근력운동","덤벨|박스/스텝박스","KNEE_DOMINANT|LOWER_BODY_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","","",""
"ex_281347da","덤벨 컬","근력운동","덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","","",""
"ex_da56a4fe","덤벨 킥백","근력운동","덤벨","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","ACCESSORY","","",""
"ex_708e64ce","덤벨 풀오버","근력운동","덤벨","SHOULDER_EXTENSION|LAT_ACCESSORY|SCAPULAR_CONTROL|CHEST_LAT_ACCESSORY","ACCESSORY","","",""
"ex_f6703b06","덤벨 프로네이션/수피네이션","근력운동","덤벨","WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT|FOREARM_ROTATION","ACCESSORY","","",""
"barbell_deadlift","데드리프트","근력운동","바벨","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","STRENGTH","","",""
"ex_bb4b4276","등받이 없는 덤벨 시티드 숄더프레스","근력운동","덤벨","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","","",""
"ex_fb67af37","디클라인 푸시업","근력운동","콘/마커|맨몸","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","","",""
"ex_6463edad","딥스","근력운동","평행봉","PUSH_VERTICAL_SUPPORT|CHEST_TRICEPS_STRENGTH","STRENGTH","","",""
"ex_d20b7487","라잉 트라이셉스 익스텐션","근력운동","EZ바|덤벨","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","ACCESSORY","","",""
"ex_b4b198de","래터럴 런지","근력운동","덤벨|맨몸","KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER|FRONTAL_PLANE_LOWER|ADDUCTOR_GLUTE_SUPPORT","STRENGTH","","",""
"ex_dc9e5953","랫풀다운","근력운동","케이블|머신","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","STRENGTH","","",""
