id,sourceNames,sourceStableKeys,sourceExistsInSeed,sourceExistsInRuntimeMetadata,referencedByPrograms,referencedByProgramRules,referencedByWorkoutOrBackupModels,imageMappings,tissueProfiles,recoveryOrBaselineProfiles,targetStableKey,targetName,targetExistsInSeed,targetMetadataConflict,proposedAction,blockingAmbiguity,rationale,status
"D01","B-스탠스 RDL | 킥스탠스 RDL | 싱글 레그 RDL | 원레그 RDL","ex_201f6426 | ex_885b629 | imported_싱글_레그_rdl | single_leg_rdl","3/4","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/java/com/training/trackplanner/data/SeedData.kt","3:W1D5; 3:W2D5; 3:W3D5; 3:W4D5; 8:W1D4; 8:W2D4; 8:W3D4; 8:W4D4; 9:W1D5","app/src/main/java/com/training/trackplanner/data/ProgramRuleTables.kt; app/src/test/java/com/training/trackplanner/data/ProgramSelectedExerciseScorePolicyTest.kt","","single_leg_rdl:exercise_images/local_downloads/single_leg_rdl.png","","app/src/test/java/com/training/trackplanner/analysis/tissue/TissueRecoveryEngineTest.kt","single_leg_rdl","원레그 루마니안 데드리프트","yes","no","MERGE; metadata=REBUILD; migration=모든 과거 기록·계획·프로그램 참조를 single_leg_rdl로 이동하되 세션 행과 세트는 보존; legacy=구형 백업 import 시 4개 키를 single_leg_rdl로 확정 매핑","","앱 정의상 반대발의 가벼운 접지를 허용하므로 실사용에서 동일한 편측 힙힌지로 취급","확정"
"D02","6코너 섀도우 풋워크 | 6코너 풋워크","imported_6코너_섀도우_풋워크 | ex_33841b88","1/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/java/com/training/trackplanner/data/SeedData.kt; app/src/test/java/com/training/trackplanner/data/RuntimeExerciseMetadataAssetLoaderTest.kt","3:W1D1; 3:W2D1; 3:W3D1; 3:W4D1; 8:W1D1; 8:W2D1; 8:W3D1; 8:W4D1","app/src/test/java/com/training/trackplanner/data/ProgramEvaluationPolicyTest.kt","","","","","ex_33841b88","6코너 풋워크","yes","no","MERGE; metadata=KEEP_CANONICAL; migration=옛 이름 기록과 미래 계획을 정본 키로 이동; legacy=옛 imported 키를 ex_33841b88로 매핑","","옛 이름과 정본 이름의 중복","확정"
"D03","싱글 레그 홉 앤 스틱 | 홉 투 스틱","imported_싱글_레그_홉_앤_스틱 | ex_314df428","1/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/java/com/training/trackplanner/data/SeedData.kt","","","","","","","ex_314df428","원레그 홉 투 스틱","yes","no","MERGE_RENAME; metadata=KEEP_CANONICAL; migration=모든 기록을 ex_314df428로 이동; legacy=옛 imported 키와 옛 이름을 ex_314df428로 매핑","","동일한 한발 도약-착지 정지 동작이며 편측 용어를 원레그로 통일","확정"
"D04","리어풋 엘리베이티드 스플릿 스쿼트 | 불가리안 스플릿 스쿼트","ex_bb728af2 | ex_e2efd0fe","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","3:W2D5; 5:W1D5; 5:W2D5; 5:W3D5; 7:W1D3; 7:W2D3; 7:W3D3","","","","","","ex_e2efd0fe","불가리안 스플릿 스쿼트","yes","no","MERGE; metadata=REBUILD_FROM_BOTH; migration=두 키의 기록을 정본 키로 이동; legacy=ex_bb728af2를 ex_e2efd0fe로 매핑","","RFESS는 불가리안 스플릿 스쿼트와 같은 동작","확정"
"D05","카프 레이즈 | 스탠딩 카프 레이즈","ex_f892893e | ex_bd072cd","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","5:W1D5; 5:W2D5; 5:W3D5; 5:W4D5; 6:W1D4; 6:W2D4; 6:W3D4; 6:W4D4; 7:W1D3; 7:W2D3; 7:W3D3; 12:W1D5; 12:W2D5; 12:W3D5; 14:W1D1; 14:W1D5; 14:W2D1; 14:W2D5; 14:W3D1; 14:W3D5; 14:W4D1; 14:W4D5","","","","","","ex_bd072cd","스탠딩 카프 레이즈","yes","no","MERGE; metadata=KEEP_CANONICAL; migration=ex_f892893e 기록을 ex_bd072cd로 이동; legacy=ex_f892893e를 ex_bd072cd로 매핑","","현재 일반 카프 레이즈 설명도 서서 무릎을 편 동작으로 정의되어 중복","확정"
"D06","바이퍼 찹 | 바이퍼 트위스트(아래로)","vipr_chop | ex_8354acd","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","vipr_chop","바이퍼 회전 아래로","yes","no","MERGE_RENAME; metadata=REBUILD; migration=두 키의 기록을 vipr_chop으로 이동; legacy=ex_8354acd를 vipr_chop으로 매핑","","높은 위치에서 낮은 위치로 내려가는 동일한 대각선 회전","확정"
"D07","바이퍼 로테이셔널 리프트 | 바이퍼 셔블 / 스쿱","vipr_rotational_lift | vipr_shovel_scoop","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","vipr_rotational_lift","바이퍼 회전 위로","yes","no","MERGE_RENAME; metadata=REBUILD; migration=두 키의 기록을 vipr_rotational_lift로 이동; legacy=vipr_shovel_scoop을 vipr_rotational_lift로 매핑","","현재 정의에서는 낮은 위치에서 위로 퍼 올리는 동일한 대각선 회전","확정"
"D08","메디신볼 슬램 | 메디신볼 오버헤드 슬램","ex_26ac0c19 | med_ball_overhead_slam","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","med_ball_overhead_slam","메디신볼 위에서 아래로 슬램","yes","no","MERGE_RENAME; metadata=REBUILD; migration=두 키의 기록을 med_ball_overhead_slam으로 이동; legacy=ex_26ac0c19를 med_ball_overhead_slam으로 매핑","","현재 두 설명이 모두 머리 위에서 바닥으로 내리치는 동작","확정"
"D09","A스킵 | 하이니 스킵","ex_a12de111 | ex_c821775c","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","14:W1D1; 14:W1D3; 14:W2D1; 14:W2D3; 14:W3D1; 14:W3D3; 14:W4D1; 14:W4D3","","","","","","ex_a12de111","A스킵","yes","no","MERGE; metadata=KEEP_CANONICAL; migration=하이니 스킵 기록을 A스킵으로 이동; legacy=ex_c821775c를 ex_a12de111로 매핑","","현재 차이는 수행 속도뿐이며 속도는 처방값으로 관리","확정"
"D10","랜드마인 로테이션 | 랜드마인 레인보우","landmine_rotation | landmine_rainbow","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","app/src/main/java/com/training/trackplanner/data/ProgramRuleTables.kt","","","","","landmine_rotation","랜드마인 좌우 회전","yes","no","MERGE_RENAME; metadata=KEEP_CANONICAL_RENAME; migration=두 키의 기록을 landmine_rotation으로 이동; legacy=landmine_rainbow를 landmine_rotation으로 매핑","","랜드마인 축 특성상 양손으로 좌우 호를 그리는 동일 동작","확정"
