exerciseStableKey,exerciseName,sourceStableKey,movementJointComplexCodes,tissueJointComplexCodes,mappedLoadUnitCount,sourceProfileState,sourceProfileSha256,reconciliationAction,reviewFlags,status
band_lift,밴드 리프트,band_lift,jc_hip|jc_thoracic_spine_ribcage,jc_hand_grip|jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_hip|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,21,REVIEWED_PROFILE_PRESENT,0114406b6f0d906992ede3995a771289ba31e927938d781141de4497c359586b,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
band_pallof_press,밴드 팔로프 프레스,ex_99728d25,,jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_hip|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,14,REVIEWED_PROFILE_PRESENT,dbe858a2f494b4bec72410caf98b66046cd4d2fa6c16a4c952ae867d63550cd4,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_thoracic_spine_ribcage|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_hip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
band_woodchop,밴드 우드찹,band_woodchop,jc_hip|jc_thoracic_spine_ribcage,jc_hand_grip|jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_hip|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,21,REVIEWED_PROFILE_PRESENT,0f165daaf49007a82f274e7545e26543997c42dac3672c862fd1aefb4e408d1b,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
barbell_back_squat,스쿼트,barbell_back_squat,jc_ankle_hindfoot|jc_hip|jc_knee_tibiofemoral|jc_knee_patellofemoral,jc_lumbar_spine|jc_knee_patellofemoral|jc_ankle_hindfoot|jc_knee_tibiofemoral|jc_hip,12,REVIEWED_PROFILE_PRESENT,7a21785b46268225fcb933f66ea744323add05c92f13f4630812f68fcb4e1f13,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine,REVIEW_REQUIRED
barbell_bench_press,벤치프레스,barbell_bench_press,jc_elbow_flexion_extension|jc_shoulder_glenohumeral|jc_shoulder_scapuloclavicular,jc_hand_grip|jc_wrist_carpal|jc_shoulder_glenohumeral|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,15,REVIEWED_PROFILE_PRESENT,0c0d7f1121f750767fdf716aa0cf8c52e3b5fde67a8d8d033434cb2151ad2541,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal,REVIEW_REQUIRED
barbell_deadlift,데드리프트,barbell_deadlift,jc_hip|jc_knee_tibiofemoral|jc_knee_patellofemoral,jc_lumbar_spine|jc_knee_tibiofemoral|jc_hip,7,REVIEWED_PROFILE_PRESENT,2e9fa0c53a9451718fd69d15d24d8733481ea2d885eeba5155e9cbc11577b006,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|MOVEMENT_ONLY_NO_TISSUE_LOAD:jc_knee_patellofemoral,REVIEW_REQUIRED
barbell_reverse_curl,바벨 리버스 컬,ex_dd2f732e,jc_elbow_flexion_extension,jc_hand_grip|jc_wrist_carpal|jc_forearm_radioulnar|jc_elbow_flexion_extension,11,REVIEWED_PROFILE_PRESENT,98f925d51afdae020ca7a928543a090241927736a43cb8927fafb590d11436e4,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_forearm_radioulnar,REVIEW_REQUIRED
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,ex_8e18b02a,jc_wrist_carpal,jc_hand_grip|jc_wrist_carpal|jc_forearm_radioulnar|jc_elbow_flexion_extension,10,REVIEWED_PROFILE_PRESENT,971bf9c3eb5fff97c56a29da11da83acf21b46221e62b7185b3e731922e34eb4,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_forearm_radioulnar|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension,REVIEW_REQUIRED
barbell_romanian_deadlift,루마니안 바벨 데드리프트,barbell_romanian_deadlift,jc_hip,jc_lumbar_spine|jc_knee_tibiofemoral|jc_hip,7,REVIEWED_PROFILE_PRESENT,a6784152985aadf8904b0c9742810d12f1caf77ece2f5fd235d76f76e9cd7611,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral,REVIEW_REQUIRED
cable_hip_adduction,케이블 힙 어덕션,ex_eaea872c,jc_hip,jc_knee_tibiofemoral|jc_hip,6,REVIEWED_PROFILE_PRESENT,4f6e1c06af1f766ada12b35317f58809285b18c8054ead41fc0d435678d5ac7d,INHERIT_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral,REVIEW_REQUIRED
