sourceGenericStableKey,sourceExerciseName,sourceIdentityStatus,variantStableKey,variantExerciseName,equipmentRequirementGroupId,equipmentRequirementModel,atomicEquipmentCodes,existingStableKeyAssignedToVariant,historyTreatment,selectable,analysisMetadataInheritance,decisionStatus,provenance
ex_bd072cd,스탠딩 카프 레이즈,LEGACY_GENERIC_NON_SELECTABLE,standing_bodyweight_calf_raise,맨몸 스탠딩 카프 레이즈,,NONE,,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_bd072cd
ex_bd072cd,스탠딩 카프 레이즈,LEGACY_GENERIC_NON_SELECTABLE,standing_dumbbell_calf_raise,덤벨 스탠딩 카프 레이즈,eqreq_standing_dumbbell_calf_raise,SINGLE,DUMBBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_bd072cd
ex_bd072cd,스탠딩 카프 레이즈,LEGACY_GENERIC_NON_SELECTABLE,standing_calf_raise_machine,스탠딩 카프 레이즈 머신,eqreq_standing_calf_raise_machine,SINGLE,STANDING_CALF_RAISE_MACHINE,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_bd072cd
ex_8e51640a,체스트 서포티드 로우,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,eqreq_dumbbell_chest_supported_row,ALL_REQUIRED,DUMBBELL|BENCH,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a
ex_8e51640a,체스트 서포티드 로우,LEGACY_GENERIC_NON_SELECTABLE,chest_supported_row_machine,체스트 서포티드 로우 머신,eqreq_chest_supported_row_machine,SINGLE,ROW_MACHINE,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a
ex_eaea872c,힙 어덕션,LEGACY_GENERIC_NON_SELECTABLE,cable_hip_adduction,케이블 힙 어덕션,eqreq_cable_hip_adduction,SINGLE,CABLE,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_eaea872c
ex_eaea872c,힙 어덕션,LEGACY_GENERIC_NON_SELECTABLE,hip_adduction_machine,힙 어덕션 머신,eqreq_hip_adduction_machine,SINGLE,HIP_ADDUCTION_MACHINE,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_eaea872c
ex_d9084b5e,원암 인버티드 로우,LEGACY_GENERIC_NON_SELECTABLE,one_arm_suspension_trainer_row,서스펜션 트레이너 원암 로우,eqreq_one_arm_suspension_trainer_row,SINGLE,SUSPENSION_TRAINER,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_d9084b5e
ex_d9084b5e,원암 인버티드 로우,LEGACY_GENERIC_NON_SELECTABLE,one_arm_gymnastic_ring_row,짐내스틱 링 원암 로우,eqreq_one_arm_gymnastic_ring_row,SINGLE,GYMNASTIC_RINGS,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_d9084b5e
ex_e159d15a,인버티드 로우,SELECTABLE_CANONICAL,suspension_trainer_inverted_row,서스펜션 트레이너 인버티드 로우,eqreq_suspension_trainer_inverted_row,SINGLE,SUSPENSION_TRAINER,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_e159d15a
ex_e159d15a,인버티드 로우,SELECTABLE_CANONICAL,gymnastic_ring_inverted_row,짐내스틱 링 인버티드 로우,eqreq_gymnastic_ring_inverted_row,SINGLE,GYMNASTIC_RINGS,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_e159d15a
ex_516f4456,스파이더 컬,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_spider_curl,덤벨 스파이더 컬,eqreq_dumbbell_spider_curl,ALL_REQUIRED,DUMBBELL|BENCH,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456
ex_516f4456,스파이더 컬,LEGACY_GENERIC_NON_SELECTABLE,ez_bar_spider_curl,EZ바 스파이더 컬,eqreq_ez_bar_spider_curl,ALL_REQUIRED,EZ_BAR|BENCH,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456
ex_7176cbee,리어델트 플라이,LEGACY_GENERIC_NON_SELECTABLE,cable_rear_delt_fly,케이블 리어델트 플라이,eqreq_cable_rear_delt_fly,SINGLE,CABLE,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
ex_7176cbee,리어델트 플라이,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_rear_delt_fly,덤벨 리어델트 플라이,eqreq_dumbbell_rear_delt_fly,SINGLE,DUMBBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
ex_8e18b02a,리버스 리스트 컬,LEGACY_GENERIC_NON_SELECTABLE,barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,eqreq_barbell_reverse_wrist_curl,SINGLE,BARBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a
ex_8e18b02a,리버스 리스트 컬,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,eqreq_dumbbell_reverse_wrist_curl,SINGLE,DUMBBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a
ex_99728d25,팔로프 프레스,LEGACY_GENERIC_NON_SELECTABLE,cable_pallof_press,케이블 팔로프 프레스,eqreq_cable_pallof_press,SINGLE,CABLE,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
ex_99728d25,팔로프 프레스,LEGACY_GENERIC_NON_SELECTABLE,band_pallof_press,밴드 팔로프 프레스,eqreq_band_pallof_press,SINGLE,BAND,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
ex_a1fc4533,파머스 캐리,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_farmer_carry,덤벨 파머스 캐리,eqreq_dumbbell_farmer_carry,SINGLE,DUMBBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_a1fc4533
ex_a1fc4533,파머스 캐리,LEGACY_GENERIC_NON_SELECTABLE,kettlebell_farmer_carry,케틀벨 파머스 캐리,eqreq_kettlebell_farmer_carry,SINGLE,KETTLEBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_a1fc4533
ex_a9e8859c,오버헤드 트라이셉스 익스텐션,LEGACY_GENERIC_NON_SELECTABLE,cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,eqreq_cable_overhead_triceps_extension,SINGLE,CABLE,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c
ex_a9e8859c,오버헤드 트라이셉스 익스텐션,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,eqreq_dumbbell_overhead_triceps_extension,SINGLE,DUMBBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c
ex_ac7df636,고블릿 스쿼트,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_goblet_squat,덤벨 고블릿 스쿼트,eqreq_dumbbell_goblet_squat,SINGLE,DUMBBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_ac7df636
ex_ac7df636,고블릿 스쿼트,LEGACY_GENERIC_NON_SELECTABLE,kettlebell_goblet_squat,케틀벨 고블릿 스쿼트,eqreq_kettlebell_goblet_squat,SINGLE,KETTLEBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_ac7df636
ex_d20b7487,라잉 트라이셉스 익스텐션,LEGACY_GENERIC_NON_SELECTABLE,dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,eqreq_dumbbell_lying_triceps_extension,SINGLE,DUMBBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_d20b7487
ex_d20b7487,라잉 트라이셉스 익스텐션,LEGACY_GENERIC_NON_SELECTABLE,ez_bar_lying_triceps_extension,EZ바 라잉 트라이셉스 익스텐션,eqreq_ez_bar_lying_triceps_extension,SINGLE,EZ_BAR,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_d20b7487
ex_dd2f732e,리버스 컬,LEGACY_GENERIC_NON_SELECTABLE,barbell_reverse_curl,바벨 리버스 컬,eqreq_barbell_reverse_curl,SINGLE,BARBELL,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_dd2f732e
ex_dd2f732e,리버스 컬,LEGACY_GENERIC_NON_SELECTABLE,ez_bar_reverse_curl,EZ바 리버스 컬,eqreq_ez_bar_reverse_curl,SINGLE,EZ_BAR,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,YES,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,USER_APPROVED_APPLIED,FINAL_CLOSEOUT_SPLIT_FROM_ex_dd2f732e
