exerciseStableKey,exerciseName,sourceStableKey,relationCount,primaryCount,secondaryCount,stabilizerCount,sourceProfileSha256,reconciliationAction,status
band_lift,밴드 리프트,band_lift,5,5,0,0,5665e7dc896fd3f1f25e0014e6979bbf8ea10b4c99399015cd8ca5944d154bed,PRESERVE_UNCHANGED,PASS
band_pallof_press,밴드 팔로프 프레스,ex_99728d25,3,3,0,0,2b4693da752d4e2711fdbef92264e189a22f55f9cb6bbcc8da5fac8335a00218,INHERIT_UNCHANGED,PASS
band_woodchop,밴드 우드찹,band_woodchop,5,5,0,0,a1affd1b8ec17ae5544e6ed2fbf145ca4f3a448e251ccab996c4f31c4e95d25f,PRESERVE_UNCHANGED,PASS
barbell_back_squat,스쿼트,barbell_back_squat,4,4,0,0,5ede766ca5f6809176da15fc2867ed98394589a71a36f49c22969eb37dba0cac,PRESERVE_UNCHANGED,PASS
barbell_bench_press,벤치프레스,barbell_bench_press,4,3,1,0,49ea5a6993423e575a5a3ebed7b20a390ead35d032263f601233bfe026785ce3,PRESERVE_UNCHANGED,PASS
barbell_deadlift,데드리프트,barbell_deadlift,5,5,0,0,a4c1a731220e31f854a705b4dfe3fd07aa731c26682fbc78965aab96f8c6490d,PRESERVE_UNCHANGED,PASS
barbell_reverse_curl,바벨 리버스 컬,ex_dd2f732e,4,3,1,0,4c224533dcbd203a6faeab691223d9e832eefa913cbc96153fe4efa1195163b5,INHERIT_UNCHANGED,PASS
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,ex_8e18b02a,3,2,1,0,047ded708cc7a0019e140d03cfb7ded20931f27ec1c54c1139b53a50cbc60b72,INHERIT_UNCHANGED,PASS
barbell_romanian_deadlift,루마니안 바벨 데드리프트,barbell_romanian_deadlift,5,2,3,0,4c8ecc91c361031f1e85f50ba83cb12d030cd31ab294669d38e12a6362aeeb9f,PRESERVE_UNCHANGED,PASS
cable_hip_adduction,케이블 힙 어덕션,ex_eaea872c,3,3,0,0,4d97bf6412a99db394b4d573c9cdb9b7bd9d7e6904f80828d8fa33300468d042,INHERIT_UNCHANGED,PASS
cable_lift,케이블 리프트,cable_lift,5,5,0,0,02f997f4b2fb839be0ade667097babc0c22e963a68347c00234f669b3769942e,PRESERVE_UNCHANGED,PASS
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,ex_a9e8859c,3,3,0,0,f39a91cd3e3a436d6f20bb563464237a2027941bc60389e20525c11be02a4bf9,INHERIT_UNCHANGED,PASS
cable_pallof_press,케이블 팔로프 프레스,ex_99728d25,3,3,0,0,2b4693da752d4e2711fdbef92264e189a22f55f9cb6bbcc8da5fac8335a00218,INHERIT_UNCHANGED,PASS
cable_rear_delt_fly,케이블 리어델트 플라이,ex_7176cbee,4,4,0,0,1197b18ff1c500855a630de7b67332a0115af7a4b80638d1d32420cd79a69c1d,INHERIT_UNCHANGED,PASS
cable_woodchop,케이블 우드찹,cable_woodchop,5,5,0,0,409f2ade820aa95d6be7e030c344a92444d79f8043093812de78fb496fafe1b5,PRESERVE_UNCHANGED,PASS
chest_supported_row_machine,체스트 서포티드 로우 머신,ex_8e51640a,5,4,1,0,2293e64ba1d2c4741b634ef7b5896abd5f4be48245bc8af85b65214cc3559b45,INHERIT_UNCHANGED,PASS
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,ex_8e51640a,5,4,1,0,2293e64ba1d2c4741b634ef7b5896abd5f4be48245bc8af85b65214cc3559b45,INHERIT_UNCHANGED,PASS
dumbbell_farmer_carry,덤벨 파머스 캐리,ex_a1fc4533,2,2,0,0,62bb88ee7e8b7a2d977dbac693f081935419d3ebefe0322ceb467eeeb4c630ae,INHERIT_UNCHANGED,PASS
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,ex_ac7df636,1,1,0,0,35c29113e35314eb7d0b5690c2cc1fc50039a829d2b4ad22817ca1a544c9b7ed,INHERIT_UNCHANGED,PASS
dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,ex_d20b7487,4,3,1,0,a57ba1eee8be0efff81b4b406cdef22e6d2228f34158f0530b067f58a4cf7a29,INHERIT_UNCHANGED,PASS
dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,ex_a9e8859c,3,3,0,0,f39a91cd3e3a436d6f20bb563464237a2027941bc60389e20525c11be02a4bf9,INHERIT_UNCHANGED,PASS
dumbbell_preacher_curl,덤벨 프리처 컬,ex_e994008a,3,2,1,0,1b2e84cf09a413b851e4076c5055f1372ecd5e10319df8974d3808006d6e5038,INHERIT_UNCHANGED,PASS
dumbbell_rear_delt_fly,덤벨 리어델트 플라이,ex_7176cbee,4,4,0,0,1197b18ff1c500855a630de7b67332a0115af7a4b80638d1d32420cd79a69c1d,INHERIT_UNCHANGED,PASS
dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,ex_8e18b02a,3,2,1,0,047ded708cc7a0019e140d03cfb7ded20931f27ec1c54c1139b53a50cbc60b72,INHERIT_UNCHANGED,PASS
