exerciseStableKey,exerciseName,sourceStableKey,relationCount,ofiAxisCount,ofiScoreCount,doseCount,snapshotCount,cautionCount,badmintonFatigueCostCount,sourceProfileSha256,reconciliationAction,status
band_lift,밴드 리프트,band_lift,16,5,5,1,1,0,1,9d134f17c10aabaf6d3b77f3e181cd52390d88b9a0428d3a9663fb534b044172,PRESERVE_UNCHANGED,PASS
band_pallof_press,밴드 팔로프 프레스,ex_99728d25,16,5,5,1,1,0,1,f3d63feb019160241b04425aa07faca22ae7151302ccd559da7c6d92c25cfd91,INHERIT_UNCHANGED,PASS
band_woodchop,밴드 우드찹,band_woodchop,16,5,5,1,1,0,1,bff190133b9f9740e6b3a0b96008180b5e576ec635d1e73c20ef639468b7402f,PRESERVE_UNCHANGED,PASS
barbell_back_squat,스쿼트,barbell_back_squat,17,5,5,1,1,1,1,6f2e42233ba8c3d24fde5cdad7319e52c2098f63b9990a6f655344855ecfa2a1,PRESERVE_UNCHANGED,PASS
barbell_bench_press,벤치프레스,barbell_bench_press,16,5,5,1,1,0,1,430aede63fe1d8d8a989c7a494c75bc091e7621b5da98ca057755d2068903b16,PRESERVE_UNCHANGED,PASS
barbell_deadlift,데드리프트,barbell_deadlift,17,5,5,1,1,1,1,d683cb33dd6d506ff6cc198cfe3526296a5150832f9dcf6892c05f9eb61ccba1,PRESERVE_UNCHANGED,PASS
barbell_reverse_curl,바벨 리버스 컬,ex_dd2f732e,16,5,5,1,1,0,1,d63c5654e8080fd3a4154aaea9cc582dfa55dab0aea44bbd7fb5fd3d31096b3b,INHERIT_UNCHANGED,PASS
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,ex_8e18b02a,16,5,5,1,1,0,1,4469fe32917294199cb3eb7057ac3cbdbe0869848de68f8e0d7075c2a8c48a4b,INHERIT_UNCHANGED,PASS
barbell_romanian_deadlift,루마니안 바벨 데드리프트,barbell_romanian_deadlift,16,5,5,1,1,0,1,cac4eb72a118623b109d9bd69279bbb9285092a610a86227b09488024c8fb9fd,PRESERVE_UNCHANGED,PASS
cable_hip_adduction,케이블 힙 어덕션,ex_eaea872c,16,5,5,1,1,0,1,76584aa35c44a5f1de97f2605c66dcabc8e5936509d55b5b919d489b0326b535,INHERIT_UNCHANGED,PASS
cable_lift,케이블 리프트,cable_lift,16,5,5,1,1,0,1,a6af2671ab94baeda4c68f7f1c94a97dbc27eead2001d599d8319f61cd786fe3,PRESERVE_UNCHANGED,PASS
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,ex_a9e8859c,16,5,5,1,1,0,1,b6454895290b9be0304996b5cb7a892755253eae678447334e7e968e6702f38c,INHERIT_UNCHANGED,PASS
