exerciseStableKey,targetKey,priorSpecificityMean,priorSpecificityConcentration,priorTransferSlopeMean,priorTransferSlopeSd,priorResidualLogSdMean,priorResidualLogSdSd,sharedFactorLoadings,targetSpecificLoading,loadSemantics,minimumProxyObservations,minimumTargetObservations,personalizationAllowed,evidenceClass,approvalStatus,requiresPostMetadataResearchReview,configVersion,rationale,provenanceId,targetAnchorStableKey,identityResolution,subsetRule
barbell_bench_press,BENCH_PRESS,1.00,100.0,1.00,0.05,-2.30,0.25,strength.factor.press_shared:0.90|strength.factor.horizontal_press:1.00|strength.factor.elbow_extension:0.45,1.00,EXTERNAL_LOAD,0,0,true,DIRECT_ANCHOR_PRODUCT_POLICY,REVIEWED_DIRECT_ANCHOR,false,strength-proxy-prior-1.0.0,Direct anchor relation,LEGACY-STRENGTH-PROXY-2.0.0-barbell_bench_press-BENCH_PRESS,barbell_bench_press,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_27b3deb5,BENCH_PRESS,0.62,2.0,1.00,0.75,-0.35,0.85,strength.factor.press_shared:0.90|strength.factor.horizontal_press:0.90|strength.factor.elbow_extension:0.70,0.20,EXTERNAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.62 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_27b3deb5-BENCH_PRESS,barbell_bench_press,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_a61f1e96,BENCH_PRESS,0.46,2.0,1.00,0.75,-0.35,0.85,strength.factor.press_shared:0.78|strength.factor.horizontal_press:0.72|strength.factor.elbow_extension:0.42,0.20,IMPLEMENT_TOTAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.46 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_a61f1e96-BENCH_PRESS,barbell_bench_press,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_3a7d3eda,BENCH_PRESS,0.55,2.0,1.00,0.75,-0.35,0.85,strength.factor.press_shared:0.85|strength.factor.horizontal_press:0.90|strength.factor.elbow_extension:0.50,0.20,IMPLEMENT_TOTAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.55 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_3a7d3eda-BENCH_PRESS,barbell_bench_press,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_1dbee10e,BENCH_PRESS,0.40,2.0,1.00,0.75,-0.35,0.85,strength.factor.press_shared:0.80|strength.factor.horizontal_press:0.75,0.20,MACHINE_STACK_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.40 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_1dbee10e-BENCH_PRESS,barbell_bench_press,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_32219f7a,BENCH_PRESS,0.30,2.0,1.00,0.75,-0.35,0.85,strength.factor.press_shared:0.55|strength.factor.elbow_extension:0.40,0.20,EXTERNAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.30 reused only as provisional bench specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_32219f7a-BENCH_PRESS,barbell_bench_press,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
barbell_back_squat,BACK_SQUAT,1.00,100.0,1.00,0.05,-2.30,0.25,strength.factor.knee_extension:1.00|strength.factor.hip_extension_posterior_chain:0.75|strength.factor.trunk_bracing:0.65,1.00,EXTERNAL_LOAD,0,0,true,DIRECT_ANCHOR_PRODUCT_POLICY,REVIEWED_DIRECT_ANCHOR,false,strength-proxy-prior-1.0.0,Direct anchor relation,LEGACY-STRENGTH-PROXY-2.0.0-barbell_back_squat-BACK_SQUAT,barbell_back_squat,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_c5043892,BACK_SQUAT,0.58,2.0,1.00,0.75,-0.35,0.85,strength.factor.knee_extension:0.95|strength.factor.hip_extension_posterior_chain:0.60|strength.factor.trunk_bracing:0.80,0.20,EXTERNAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.58 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_c5043892-BACK_SQUAT,barbell_back_squat,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_fa3416f6,BACK_SQUAT,0.48,2.0,1.00,0.75,-0.35,0.85,strength.factor.knee_extension:0.85|strength.factor.hip_extension_posterior_chain:0.65|strength.factor.trunk_bracing:0.35,0.20,MACHINE_STACK_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.48 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_fa3416f6-BACK_SQUAT,barbell_back_squat,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_ab468462,BACK_SQUAT,0.35,2.0,1.00,0.75,-0.35,0.85,strength.factor.knee_extension:1.00|strength.factor.hip_extension_posterior_chain:0.45|strength.factor.trunk_bracing:0.10,0.20,MACHINE_STACK_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.35 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_ab468462-BACK_SQUAT,barbell_back_squat,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
barbell_deadlift,DEADLIFT,1.00,100.0,1.00,0.05,-2.30,0.25,strength.factor.knee_extension:0.45|strength.factor.hip_extension_posterior_chain:1.00|strength.factor.trunk_bracing:0.85,1.00,EXTERNAL_LOAD,0,0,true,DIRECT_ANCHOR_PRODUCT_POLICY,REVIEWED_DIRECT_ANCHOR,false,strength-proxy-prior-1.0.0,Direct generic deadlift anchor relation,LEGACY-STRENGTH-PROXY-2.0.0-barbell_deadlift-DEADLIFT,barbell_deadlift,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
