exercise_name,stable_key,image_asset_name,mapping_confidence,needs_review,reason
스쿼트,barbell_back_squat,exercise_images/local_downloads/back_squat.png,HIGH,0,korean_name=localizedName.ko
벤치프레스,barbell_bench_press,exercise_images/local_downloads/bench_press.png,HIGH,0,korean_name=localizedName.ko
풀업,pull_up,exercise_images/local_downloads/pull_up.png,HIGH,0,stableKey=image_slug
데드리프트,barbell_deadlift,exercise_images/local_downloads/deadlift.png,HIGH,0,korean_name=localizedName.ko
루마니안 데드리프트,,exercise_images/local_downloads/romanian_deadlift.png,HIGH,0,korean_name=localizedName.ko
런지,,exercise_images/local_downloads/lunge.png,HIGH,0,korean_name=localizedName.ko
워킹 런지,,exercise_images/local_downloads/walking_lunge.png,HIGH,0,korean_name=localizedName.ko
리버스 런지,,exercise_images/local_downloads/reverse_lunge.png,HIGH,0,korean_name=localizedName.ko
래터럴 런지,,exercise_images/local_downloads/lateral_lunge.png,HIGH,0,korean_name=localizedName.ko
힙 쓰러스트,,,NONE,1,no_safe_match
레그 프레스,,exercise_images/local_downloads/leg_press.png,HIGH,0,korean_name=localizedName.ko
머신 체스트프레스,,exercise_images/local_downloads/machine_chest_press.png,HIGH,0,korean_name=localizedName.ko
원레그 레그 프레스,,exercise_images/local_downloads/one_leg_leg_press.png,HIGH,0,korean_name=localizedName.ko
오버헤드 프레스,,exercise_images/local_downloads/overhead_press.png,HIGH,0,korean_name=localizedName.ko
머신 숄더프레스,,exercise_images/local_downloads/machine_shoulder_press.png,HIGH,0,korean_name=localizedName.ko
등받이 없는 덤벨 시티드 숄더프레스,,exercise_images/local_downloads/seated_dumbbell_shoulder_press_no_back.png,HIGH,0,korean_name=localizedName.ko
덤벨 숄더프레스,,exercise_images/local_downloads/dumbbell_shoulder_press.png,HIGH,0,korean_name=localizedName.ko
인클라인 덤벨 프레스,,exercise_images/local_downloads/incline_dumbbell_press.png,HIGH,0,korean_name=localizedName.ko
케이블 플라이,,exercise_images/local_downloads/cable_fly.png,HIGH,0,korean_name=localizedName.ko
바벨 로우,,exercise_images/local_downloads/barbell_row.png,HIGH,0,korean_name=localizedName.ko
케이블 로우,,exercise_images/local_downloads/cable_row.png,HIGH,0,korean_name=localizedName.ko
체스트 서포티드 로우,,exercise_images/local_downloads/chest_supported_row.png,HIGH,0,korean_name=localizedName.ko
원암 덤벨 로우,,,NONE,1,no_safe_match
체스트 서포티드 원암 덤벨 로우,,exercise_images/local_downloads/chest_supported_one_arm_dumbbell_row.png,HIGH,0,korean_name=localizedName.ko
케이블 원암 로우,,exercise_images/local_downloads/standing_one_arm_cable_row_chest_height.png,HIGH,0,korean_name=localizedName.ko
원암 로우,,,NONE,1,no_safe_match
원암 머신 로우,,,NONE,1,no_safe_match
원암 케이블 하이 로우,,exercise_images/local_downloads/half_kneeling_one_arm_cable_high_row.png,HIGH,0,korean_name=localizedName.ko
체스트 서포티드 원암 로우,,,NONE,1,no_safe_match
랫풀다운,,exercise_images/local_downloads/lat_pulldown.png,HIGH,0,korean_name=localizedName.ko
중량 풀업,,exercise_images/local_downloads/weighted_pull_up.png,HIGH,0,korean_name=localizedName.ko
친업,,exercise_images/local_downloads/chin_up.png,HIGH,0,korean_name=localizedName.ko
중량 친업,,exercise_images/local_downloads/weighted_chin_up.png,HIGH,0,korean_name=localizedName.ko
스캡 풀업,,exercise_images/local_downloads/scap_pull_up.png,HIGH,0,korean_name=localizedName.ko
페이스풀,face_pull,exercise_images/local_downloads/face_pull.png,HIGH,0,stableKey=image_slug
리어델트 플라이,rear_delt_fly,exercise_images/local_downloads/rear_delt_fly.png,HIGH,0,stableKey=image_slug
덤벨 래터럴 레이즈,dumbbell_lateral_raise,exercise_images/local_downloads/dumbbell_lateral_raise.png,HIGH,0,stableKey=image_slug
덤벨 컬,,exercise_images/local_downloads/dumbbell_curl.png,HIGH,0,korean_name=localizedName.ko
원암 덤벨 컬,,exercise_images/local_downloads/one_arm_dumbbell_curl.png,HIGH,0,korean_name=localizedName.ko
