image_key,exercise_name_ko,english_name,source_zip_path,intended_asset_path,restored_asset_path,bytes,width,height,match_method
wall_sit,월싯,월싯,assets/exercise_images/local_downloads/01_recent_21_exercises/01_∞¢ö∞ï»_wall_sit.png,exercise_images/local_downloads/01_recent_21_exercises/01_월싯_wall_sit.png,exercise_images/local_downloads/wall_sit.png,148250,330,330,slug
reverse_nordic_curl,리버스 노르딕 컬,리버스노르딕컬,assets/exercise_images/local_downloads/01_recent_21_exercises/02_δª¼δ▓ä∞èñ_δà╕δÑ┤δöò_∞╗¼_reverse_nordic_curl.png,exercise_images/local_downloads/01_recent_21_exercises/02_리버스_노르딕_컬_reverse_nordic_curl.png,exercise_images/local_downloads/reverse_nordic_curl.png,122988,330,330,slug
hanging_leg_raise,행잉 레그 레이즈,행잉레그레이즈,assets/exercise_images/local_downloads/01_recent_21_exercises/03_φûë∞₧ë_δáêΩ╖╕_δáê∞¥┤∞ªê_hanging_leg_raise.png,exercise_images/local_downloads/01_recent_21_exercises/03_행잉_레그_레이즈_hanging_leg_raise.png,exercise_images/local_downloads/hanging_leg_raise.png,133141,330,330,slug
hollow_body_hold,할로우 바디 홀드,할로우바디홀드,assets/exercise_images/local_downloads/01_recent_21_exercises/04_φòáδí£∞Ü░_δ░öδöö_φÖÇδô£_hollow_body_hold.png,exercise_images/local_downloads/01_recent_21_exercises/04_할로우_바디_홀드_hollow_body_hold.png,exercise_images/local_downloads/hollow_body_hold.png,127841,330,330,slug
bird_dog,버드독,버드독,assets/exercise_images/local_downloads/01_recent_21_exercises/05_δ▓äδô£δÅà_bird_dog.png,exercise_images/local_downloads/01_recent_21_exercises/05_버드독_bird_dog.png,exercise_images/local_downloads/bird_dog.png,102892,330,330,slug
mountain_climber,마운틴 클라이머,마운틴클라이머,assets/exercise_images/local_downloads/01_recent_21_exercises/06_δºê∞Ü┤φï┤_φü┤δ¥╝∞¥┤δ¿╕_mountain_climber.png,exercise_images/local_downloads/01_recent_21_exercises/06_마운틴_클라이머_mountain_climber.png,exercise_images/local_downloads/mountain_climber.png,107437,330,330,slug
kettlebell_swing,케틀벨 스윙,케틀벨스윙,assets/exercise_images/local_downloads/01_recent_21_exercises/07_∞╝ÇφïÇδ▓¿_∞èñ∞£Ö_kettlebell_swing.png,exercise_images/local_downloads/01_recent_21_exercises/07_케틀벨_스윙_kettlebell_swing.png,exercise_images/local_downloads/kettlebell_swing.png,132877,330,330,slug
half_kneeling_one_arm_press,하프 닐링 원암 프레스,하프닐링원암프레스,assets/exercise_images/local_downloads/01_recent_21_exercises/08_φòÿφöä_δïÉδºü_∞¢É∞òö_φöäδáê∞èñ_half_kneeling_one_arm_press.png,exercise_images/local_downloads/01_recent_21_exercises/08_하프_닐링_원암_프레스_half_kneeling_one_arm_press.png,exercise_images/local_downloads/half_kneeling_one_arm_press.png,126467,330,330,slug
box_jump,박스 점프,박스점프,assets/exercise_images/local_downloads/01_recent_21_exercises/09_δ░ò∞èñ_∞áÉφöä_box_jump.png,exercise_images/local_downloads/01_recent_21_exercises/09_박스_점프_box_jump.png,exercise_images/local_downloads/box_jump.png,137633,330,330,slug
jump_lunge,점프 런지,점프런지,assets/exercise_images/local_downloads/01_recent_21_exercises/10_∞áÉφöä_δƒ░∞ºÇ_jump_lunge.png,exercise_images/local_downloads/01_recent_21_exercises/10_점프_런지_jump_lunge.png,exercise_images/local_downloads/jump_lunge.png,130112,330,330,slug
