exerciseStableKey,legacyRole,newTrainingRoleCodes,newProgramSlotCapabilityCodes,migrationStatus,evidence,notes
barbell_romanian_deadlift,MAIN_STRENGTH,STRENGTH,MAIN_STRENGTH_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=barbell_romanian_deadlift;training_role=MAIN_STRENGTH,Mechanical decomposition approved by migration policy.
dumbbell_romanian_deadlift,MAIN_STRENGTH,STRENGTH,MAIN_STRENGTH_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=dumbbell_romanian_deadlift;training_role=MAIN_STRENGTH,Mechanical decomposition approved by migration policy.
ex_314df428,PLYOMETRIC,PLYOMETRIC,PLYOMETRIC_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_314df428;training_role=PLYOMETRIC,Mechanical decomposition approved by migration policy.
ex_33841b88,SPEED_REACTIVE,,SPEED_REACTIVE_SLOT,REVIEW_REQUIRED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_33841b88;training_role=SPEED_REACTIVE,SPEED_REACTIVE is a placement label and does not establish intrinsic training meaning.
ex_34e7d21,PLYOMETRIC,PLYOMETRIC,PLYOMETRIC_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_34e7d21;training_role=PLYOMETRIC,Mechanical decomposition approved by migration policy.
ex_462c760e,SECONDARY_STRENGTH,STRENGTH,SECONDARY_STRENGTH_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_462c760e;training_role=SECONDARY_STRENGTH,Mechanical decomposition approved by migration policy.
ex_5322f2d1,ACCESSORY,,ACCESSORY_SLOT,REVIEW_REQUIRED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_5322f2d1;training_role=ACCESSORY,ACCESSORY is a placement label and does not establish intrinsic training meaning.
ex_5ca7133f,ACCESSORY,,ACCESSORY_SLOT,REVIEW_REQUIRED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_5ca7133f;training_role=ACCESSORY,ACCESSORY is a placement label and does not establish intrinsic training meaning.
ex_85f12271,STABILITY,STABILITY,STABILITY_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_85f12271;training_role=STABILITY,Mechanical decomposition approved by migration policy.
ex_8824026f,PLYOMETRIC,PLYOMETRIC,PLYOMETRIC_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_8824026f;training_role=PLYOMETRIC,Mechanical decomposition approved by migration policy.
ex_a12de111,SPEED_REACTIVE,,SPEED_REACTIVE_SLOT,REVIEW_REQUIRED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_a12de111;training_role=SPEED_REACTIVE,SPEED_REACTIVE is a placement label and does not establish intrinsic training meaning.
ex_bd072cd,ACCESSORY,,ACCESSORY_SLOT,REVIEW_REQUIRED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_bd072cd;training_role=ACCESSORY,ACCESSORY is a placement label and does not establish intrinsic training meaning.
ex_d60745b4,ACCESSORY,,ACCESSORY_SLOT,REVIEW_REQUIRED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_d60745b4;training_role=ACCESSORY,ACCESSORY is a placement label and does not establish intrinsic training meaning.
ex_e2efd0fe,MAIN_STRENGTH,STRENGTH,MAIN_STRENGTH_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_e2efd0fe;training_role=MAIN_STRENGTH,Mechanical decomposition approved by migration policy.
