exercise_name,stable_key,image_asset_name,mapping_confidence,needs_review,reason
힙 쓰러스트,,,NONE,1,no_safe_match
원암 덤벨 로우,,,NONE,1,no_safe_match
원암 로우,,,NONE,1,no_safe_match
원암 머신 로우,,,NONE,1,no_safe_match
체스트 서포티드 원암 로우,,,NONE,1,no_safe_match
트라이셉스 푸시다운,,,NONE,1,no_safe_match
오버헤드 트라이셉스 익스텐션,,,NONE,1,no_safe_match
싱글 레그 힙 쓰러스트,,,NONE,1,no_safe_match
시티드 원암 케이블 로우,,,NONE,1,no_safe_match
메도우즈 로우,,,NONE,1,no_safe_match
라잉 트라이셉스 익스텐션,,,NONE,1,no_safe_match
원암 덤벨 오버헤드 트라이셉스 익스텐션,,,NONE,1,no_safe_match
덤벨 킥백,,,NONE,1,no_safe_match
스플릿 스쿼트,,,NONE,1,no_safe_match
프론트풋 엘리베이티드 스플릿 스쿼트,,,NONE,1,no_safe_match
리어풋 엘리베이티드 스플릿 스쿼트,,,NONE,1,no_safe_match
킥스탠스 RDL,,,NONE,1,no_safe_match
글루트 브릿지,,,NONE,1,no_safe_match
싱글 레그 글루트 브릿지,single_leg_glute_bridge,,NONE,1,no_safe_match
힙 어브덕션,,,NONE,1,no_safe_match
힙 어덕션,,,NONE,1,no_safe_match
슈퍼맨,,,NONE,1,no_safe_match
하프 닐링 케틀벨 원암 프레스,,,NONE,1,no_safe_match
하프 닐링 프레스,,,NONE,1,no_safe_match
하프 닐링 케틀벨 프레스,,,NONE,1,no_safe_match
원암 하프 닐링 프레스,,,NONE,1,no_safe_match
불가리안 스플릿 스쿼트,,,NONE,1,no_safe_match
6코너 섀도우 풋워크,,,NONE,1,no_safe_match
6코너 풋워크 최대반복 테스트,,,NONE,1,no_safe_match
랜덤 풋워크,,,NONE,1,no_safe_match
래터럴 바운드 투 스틱,lateral_bound_to_stick,,NONE,1,no_safe_match
홉 투 스틱,hop_to_stick,,NONE,1,no_safe_match
싱글 레그 홉 투 스틱,single_leg_hop_to_stick,,NONE,1,no_safe_match
6코너 풋워크,six_corner_footwork,,NONE,1,no_safe_match
