"RecordType","Id","Result","Detail"
"METRIC","TRANSFER_BLANK_ROWS_BEFORE","183","Rows"
"METRIC","TRANSFER_BLANK_ROWS_AFTER","0","Rows"
"METRIC","TRANSFER_BACKFILLED_ROWS","183","Blank rows filled"
"METRIC","TRANSFER_PLACEHOLDER_NORMALIZED","1","Existing placeholder rows normalized"
"METRIC","TRANSFER_BLOCKED_ROWS","0","Rows"
"LEVEL","SUPPORTIVE","150","Final rows"
"LEVEL","GENERAL","29","Final rows"
"LEVEL","DIRECT","18","Final rows"
"LEVEL","NONE","18","Final rows"
"TYPE_TOKEN","ANKLE_CALF_SSC_SUPPORTIVE","17","Final token uses"
"TYPE_TOKEN","CHANGE_OF_DIRECTION_DIRECT","12","Final token uses"
"TYPE_TOKEN","CORE_STABILITY_SUPPORTIVE","10","Final token uses"
"TYPE_TOKEN","FOOTWORK_DIRECT","15","Final token uses"
"TYPE_TOKEN","GENERAL_CONDITIONING_SUPPORTIVE","13","Final token uses"
"TYPE_TOKEN","GENERAL_STRENGTH_SUPPORTIVE","16","Final token uses"
"TYPE_TOKEN","GRIP_WRIST_SUPPORTIVE","18","Final token uses"
"TYPE_TOKEN","LOWER_BODY_SUPPORTIVE","66","Final token uses"
"TYPE_TOKEN","LUNGE_REACH_DIRECT","5","Final token uses"
"TYPE_TOKEN","NONE","18","Final token uses"
"TYPE_TOKEN","OVERHEAD_HITTING_DIRECT","2","Final token uses"
"TYPE_TOKEN","RALLY_CONDITIONING_DIRECT","5","Final token uses"
"TYPE_TOKEN","REACTION_DECISION_DIRECT","13","Final token uses"
"TYPE_TOKEN","SHOULDER_SCAPULAR_SUPPORTIVE","49","Final token uses"
"CONFIDENCE","LOW","98","Final rows"
"CONFIDENCE","MEDIUM","98","Final rows"
"CONFIDENCE","NONE","18","Final rows"
"CONFIDENCE","HIGH","1","Final rows"
"VALIDATION","PASS23-001","PASS","CSV rows=215; input JSON rows=215"
"VALIDATION","PASS23-002","PASS","Duplicate stableKey=0"
"VALIDATION","PASS23-003","PASS","Rows not safeForSeedMutation=NO: 0"
"VALIDATION","PASS23-004","PASS","Part A rows=5; outside-row stress changes=0"
"VALIDATION","PASS23-005","PASS","Part A non-stress changes=0"
"VALIDATION","PASS23-006","PASS","Remaining stress blank rows=0"
"VALIDATION","PASS23-007","PASS","Part B non-transfer changes=0; populated non-placeholder overwrites=0"
"VALIDATION","PASS23-008","PASS","Source changes=0"
"VALIDATION","PASS23-009","PASS","Rows with blank source fields=0"
"VALIDATION","PASS23-010","PASS","Movement/planning/progression/analysis changes=0"
"VALIDATION","PASS23-011","PASS","Transfer placeholder values=0"
"VALIDATION","PASS23-012","PASS","Invalid transfer levels=0"
"VALIDATION","PASS23-013","PASS","Invalid transfer type tokens=0"
"VALIDATION","PASS23-014","PASS","Invalid skill tokens=0"
"VALIDATION","PASS23-015","PASS","Invalid physical-quality tokens=0"
"VALIDATION","PASS23-016","PASS","Invalid transfer confidence values=0"
"VALIDATION","PASS23-017","PASS","DIRECT rows outside badminton-like families=0"
"VALIDATION","PASS23-018","PASS","Ordinary strength DIRECT rows=0"
"VALIDATION","PASS23-019","PASS","Other-sport DIRECT rows=0"
"VALIDATION","PASS23-020","PASS","Protected files changed=0"
"VALIDATION","PASS23-021","PASS","No app/Kotlin/Room/user DB/generator file was modified."
"VALIDATION","PASS23-022","PASS","No Gradle build or tests were run."
"VALIDATION","PASS23-023","PASS","No network access was used."
"VALIDATION","PASS23-024","PASS","No seed candidate or seed patch was generated."
"VALIDATION","PASS23-025","PASS","Updated stress+transfer inventory exists."
