"section","metric","value"
"previous reviewDebtDecision","ANATOMY_SUPPORTED_TEMPLATE","20"
"previous reviewDebtDecision","READY_AFTER_HUMAN_APPROVAL","1"
"previous reviewDebtDecision","SOURCE_VERIFICATION_ONLY","36"
"previous reviewDebtDecision","SPORT_TRANSFER_REVIEW_REQUIRED","32"
"previous reviewDebtDecision","STRESS_REVIEW_REQUIRED","69"
"previous reviewDebtDecision","TEMPLATE_DEFINITION_REQUIRED","57"
"new reviewDebtDecision","ACCEPTED_HEURISTIC","17"
"new reviewDebtDecision","ANATOMY_SUPPORTED_TEMPLATE","34"
"new reviewDebtDecision","READY_AFTER_HUMAN_APPROVAL","1"
"new reviewDebtDecision","SOURCE_VERIFICATION_ONLY","149"
"new reviewDebtDecision","TEMPLATE_DEFINITION_REQUIRED","14"
"primaryStressProfile","ANKLE_SSC_REACTIVE_STRESS","3"
"primaryStressProfile","BALLISTIC_POWER_STRESS","2"
"primaryStressProfile","CARDIO_CONDITIONING_STRESS","2"
"primaryStressProfile","DIP_PUSH_STRESS","1"
"primaryStressProfile","DYNAMIC_CORE_FLEXION_STRESS","1"
"primaryStressProfile","ECCENTRIC_TENDON_STRESS","2"
"primaryStressProfile","HEAVY_AXIAL_LOWER_STRESS","3"
"primaryStressProfile","HINGE_POSTERIOR_CHAIN_STRESS","7"
"primaryStressProfile","HORIZONTAL_ROW_STRESS","16"
"primaryStressProfile","ISOLATION_ACCESSORY_STRESS","7"
"primaryStressProfile","LUNGE_DECELERATION_STRESS","4"
"primaryStressProfile","MACHINE_LOWER_BODY_STRESS","2"
"primaryStressProfile","PLYOMETRIC_LANDING_STRESS","6"
"primaryStressProfile","UNILATERAL_LOWER_STABILITY_STRESS","5"
"primaryStressProfile","VERTICAL_PULL_STRESS","8"
"badmintonTransferLevel","DIRECT","18"
"badmintonTransferLevel","GENERAL","4"
"badmintonTransferLevel","SUPPORTIVE","10"
"queue","remaining template","14"
"queue","remaining stress","0"
"queue","remaining sport transfer","0"
"queue","remaining source verification","149"
"queue","ready after decision pack","31"
"queue","unmapped or conflict","14"
"validation PASS","DECISION-001","Row count remains 215: 215"
"validation PASS","DECISION-002","Duplicate stableKey count remains 0: 0"
"validation PASS","DECISION-003","safeForSeedMutation remains NO: 0"
"validation PASS","DECISION-004","Seed file modified: NO"
"validation PASS","DECISION-005","App/Kotlin/Room/user DB/generator modified: NO"
"validation PASS","DECISION-006","Gradle build run: NO"
"validation PASS","DECISION-007","Tests run: NO"
"validation PASS","DECISION-008","External network/source lookup used: NO; network limited to exact provided input downloads"
"validation PASS","DECISION-009","Local/Drive/repo discovery search run: NO"
"validation PASS","DECISION-010","Mapped stress rows without exactly one approved primary: 0"
"validation PASS","DECISION-011","Mapped sport rows without exactly one approved level: 0"
"validation PASS","DECISION-012","Ordinary strength rows marked DIRECT: 0"
"validation PASS","DECISION-013","Ordinary press/triceps rows assigned racket skill targets: 0"
"validation PASS","DECISION-014","Ordinary lower strength rows assigned CHANGE_OF_DIRECTION: 0"
"validation PASS","DECISION-015","Source-only rows falsely treated as verified: 0"
"validation PASS","DECISION-016","Unapproved primaryStressProfile values: 0"
"validation PASS","DECISION-017","Unapproved badmintonTransferLevel values: 0"
