"metric","value","detail"
"totalExerciseRows","215",""
"originalManualReviewRequiredRows","171",""
"individualJudgementRowsMatched","171",""
"individualJudgementRowsUnmatched","0",""
"rowManualReviewRequired","37",""
"sourceReviewRequired","156",""
"sourceOnlyReview","75",""
"overbroadManualReview","77",""
"templateMissingReviewRequired","39",""
"stressReviewRequired","41",""
"sportSessionReviewRequired","6",""
"p0CorrectionCandidates","7","스트레이트암 풀다운 | 원암 스트레이트암 풀다운 | 페이스풀 | 힙 어덕션 | 힙 어브덕션 | 린단 참고 트랙 스프린트 | 터키시 겟업"
"p1CorrectionCandidates","9","V업 | 딥스 | 마운틴 클라이머 | 월싯 | 캡틴체어 레그 레이즈 | 케이블 킥백 | 행잉 레그 레이즈 | 미니밴드 사이드워크 | 버피"
"safeForTemplateDefaultYES","119",""
"safeForTemplateDefaultPARTIAL","55",""
"safeForTemplateDefaultNO","41",""
"safeForSeedMutationYES","0",""
"safeForSeedMutationCANDIDATE","16",""
"safeForSeedMutationNO","199",""
"sourceIssueRowsOnlySourceReview","75",""
"sourceIssueRowsAlsoRowManualReview","29",""
"sourceIssueRowsAlsoAnyNonSourceReview","81",""
"localGoogleDriveInputPreservationFolder","C:\Users\pki08\Documents\Codex\2026-06-14\files-mentioned-by-the-user-readme\outputs\google_drive_manual_review_inputs",""
"workspaceGoogleDriveBackupFolderChecked","C:\Users\pki08\Documents\Codex\google_drive_backup",""
"inputGapCsv","C:\Users\pki08\Documents\Codex\2026-06-14\files-mentioned-by-the-user-readme\outputs\v0.3.5.0_seed_metadata_gap_report.csv",""
"inputGapMarkdown","C:\Users\pki08\Documents\Codex\2026-06-14\files-mentioned-by-the-user-readme\outputs\v0.3.5.0_seed_metadata_gap_report.md",""
"inputJudgementCsv","C:\Users\pki08\Documents\Codex\2026-06-14\files-mentioned-by-the-user-readme\outputs\google_drive_manual_review_inputs\v0.3.5.0_manual_review_171_individual_judgement.csv",""
"inputJudgementMarkdown","C:\Users\pki08\Documents\Codex\2026-06-14\files-mentioned-by-the-user-readme\outputs\google_drive_manual_review_inputs\v0.3.5.0_manual_review_171_individual_judgement.md",""
