"field","sourceColumn","fieldGroup","totalRows","blankBefore","placeholderBefore","validBefore","blankAfter","placeholderAfter","validAfter","changedInPass","nextAction"
"stableKey","stableKey","IDENTITY","215","0","0","215","0","0","215","NO","COMPLETE_FOR_PASS1"
"exerciseName","exerciseName","IDENTITY","215","0","0","215","0","0","215","NO","COMPLETE_FOR_PASS1"
"activityKind","currentActivityKind","PLANNING","215","0","0","215","0","0","215","NO","COMPLETE_FOR_PASS1"
"planningEligibility","currentPlanningEligibility","PLANNING","215","0","6","209","0","6","209","NO","LATER_NORMALIZATION_PASS"
"movementFamily","movementFamily","MOVEMENT","215","0","28","187","0","28","187","NO","LATER_NORMALIZATION_PASS"
"movementSubtype","movementSubtype","MOVEMENT","215","27","67","121","27","67","121","NO","LATER_NORMALIZATION_PASS"
"programSlot","programSlot","PLANNING","215","0","22","193","0","22","193","NO","LATER_NORMALIZATION_PASS"
"redundancyGroup","redundancyGroup","PLANNING","215","0","23","192","0","23","192","NO","LATER_NORMALIZATION_PASS"
"progressMetricType","progressMetricType","PROGRESSION","215","0","5","210","0","5","210","NO","LATER_NORMALIZATION_PASS"
"strengthProgressionGroup","strengthProgressionGroup","PROGRESSION","215","158","0","57","158","0","57","NO","LATER_NORMALIZATION_PASS"
"analysisEligibility","analysisEligibility","ANALYSIS","215","0","19","196","0","19","196","NO","LATER_NORMALIZATION_PASS"
"primaryStressProfile","primaryStressProfile","STRESS","215","146","0","69","146","0","69","NO","LATER_NORMALIZATION_PASS"
"secondaryStressTags","secondaryStressTags","STRESS","215","146","0","69","146","0","69","NO","LATER_NORMALIZATION_PASS"
"tendonStressTags","tendonStressTags","STRESS","215","146","0","69","146","0","69","NO","LATER_NORMALIZATION_PASS"
"ligamentJointStabilityStressTags","ligamentJointStabilityStressTags","STRESS","215","146","0","69","146","0","69","NO","LATER_NORMALIZATION_PASS"
"jointImpactStressTags","jointImpactStressTags","STRESS","215","146","0","69","146","0","69","NO","LATER_NORMALIZATION_PASS"
"cognitiveStressTags","cognitiveStressTags","STRESS","215","114","0","101","114","0","101","NO","LATER_NORMALIZATION_PASS"
"sportContextTags","sportContextTags","STRESS","215","114","0","101","114","0","101","NO","LATER_NORMALIZATION_PASS"
"recoveryDecayProfile","recoveryDecayProfile","STRESS","215","146","0","69","146","0","69","NO","LATER_NORMALIZATION_PASS"
"stressMagnitudeHint","stressMagnitudeHint","STRESS","215","146","0","69","146","0","69","NO","LATER_NORMALIZATION_PASS"
"badmintonTransferLevel","badmintonTransferLevel","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_PASS"
"badmintonTransferType","badmintonTransferType","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_PASS"
"badmintonSkillTargets","badmintonSkillTargets","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_PASS"
"badmintonPhysicalQualities","badmintonPhysicalQualities","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_PASS"
"transferConfidence","transferConfidence","BADMINTON_TRANSFER","215","183","1","31","183","1","31","NO","LATER_NORMALIZATION_PASS"
"sourceConfidenceLevel","sourceConfidenceLevel","SOURCE","215","56","0","159","0","0","215","YES","COMPLETE_FOR_PASS1"
"finalSourceStatus","finalSourceStatus","SOURCE","215","56","0","159","0","0","215","YES","COMPLETE_FOR_PASS1"
