"field","sourceColumn","fieldGroup","totalRows","blankBefore","placeholderBefore","validBefore","blankAfter","placeholderAfter","validAfter","changedInPass","nextAction"
"stableKey","stableKey","IDENTITY","215","0","0","215","0","0","215","NO","COMPLETE"
"exerciseName","exerciseName","IDENTITY","215","0","0","215","0","0","215","NO","COMPLETE"
"activityKind","currentActivityKind","PLANNING","215","0","0","215","0","0","215","NO","COMPLETE"
"planningEligibility","currentPlanningEligibility","PLANNING","215","0","6","209","0","6","209","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"movementFamily","movementFamily","MOVEMENT","215","0","28","187","0","28","187","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"movementSubtype","movementSubtype","MOVEMENT","215","27","67","121","27","67","121","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"programSlot","programSlot","PLANNING","215","0","22","193","0","22","193","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"redundancyGroup","redundancyGroup","PLANNING","215","0","23","192","0","23","192","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"progressMetricType","progressMetricType","PROGRESSION","215","0","5","210","0","5","210","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"strengthProgressionGroup","strengthProgressionGroup","PROGRESSION","215","158","0","57","158","0","57","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"analysisEligibility","analysisEligibility","ANALYSIS","215","0","19","196","0","19","196","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"primaryStressProfile","primaryStressProfile","STRESS","215","146","0","69","5","0","210","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"secondaryStressTags","secondaryStressTags","STRESS","215","146","0","69","5","0","210","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"tendonStressTags","tendonStressTags","STRESS","215","146","0","69","5","0","210","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"ligamentJointStabilityStressTags","ligamentJointStabilityStressTags","STRESS","215","146","0","69","5","0","210","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"jointImpactStressTags","jointImpactStressTags","STRESS","215","146","0","69","5","0","210","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"cognitiveStressTags","cognitiveStressTags","STRESS","215","114","0","101","1","0","214","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"sportContextTags","sportContextTags","STRESS","215","114","0","101","1","0","214","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"recoveryDecayProfile","recoveryDecayProfile","STRESS","215","146","0","69","5","0","210","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"stressMagnitudeHint","stressMagnitudeHint","STRESS","215","146","0","69","5","0","210","YES","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"badmintonTransferLevel","badmintonTransferLevel","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"badmintonTransferType","badmintonTransferType","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"badmintonSkillTargets","badmintonSkillTargets","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"badmintonPhysicalQualities","badmintonPhysicalQualities","BADMINTON_TRANSFER","215","183","0","32","183","0","32","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"transferConfidence","transferConfidence","BADMINTON_TRANSFER","215","183","1","31","183","1","31","NO","LATER_NORMALIZATION_OR_BLOCK_RESOLUTION"
"sourceConfidenceLevel","sourceConfidenceLevel","SOURCE","215","0","0","215","0","0","215","NO","COMPLETE"
"finalSourceStatus","finalSourceStatus","SOURCE","215","0","0","215","0","0","215","NO","COMPLETE"
