"field","sourceColumn","fieldGroup","totalRows","blankBefore","placeholderBefore","validBefore","blankAfter","placeholderAfter","validAfter","changedInPass","nextAction"
"stableKey","stableKey","IDENTITY","215","0","0","215","0","0","215","NO","COMPLETE"
"exerciseName","exerciseName","IDENTITY","215","0","0","215","0","0","215","NO","COMPLETE"
"activityKind","currentActivityKind","PLANNING","215","0","0","215","0","0","215","NO","COMPLETE"
"planningEligibility","currentPlanningEligibility","PLANNING","215","0","6","209","0","6","209","NO","LATER_NORMALIZATION"
"movementFamily","movementFamily","MOVEMENT","215","0","28","187","0","28","187","NO","LATER_NORMALIZATION"
"movementSubtype","movementSubtype","MOVEMENT","215","27","67","121","27","67","121","NO","LATER_NORMALIZATION"
"programSlot","programSlot","PLANNING","215","0","22","193","0","22","193","NO","LATER_NORMALIZATION"
"redundancyGroup","redundancyGroup","PLANNING","215","0","23","192","0","23","192","NO","LATER_NORMALIZATION"
"progressMetricType","progressMetricType","PROGRESSION","215","0","5","210","0","5","210","NO","LATER_NORMALIZATION"
"strengthProgressionGroup","strengthProgressionGroup","PROGRESSION","215","158","0","57","158","0","57","NO","LATER_NORMALIZATION"
"analysisEligibility","analysisEligibility","ANALYSIS","215","0","19","196","0","19","196","NO","LATER_NORMALIZATION"
"primaryStressProfile","primaryStressProfile","STRESS","215","5","0","210","0","0","215","YES","COMPLETE"
"secondaryStressTags","secondaryStressTags","STRESS","215","5","0","210","0","0","215","YES","COMPLETE"
"tendonStressTags","tendonStressTags","STRESS","215","5","0","210","0","0","215","YES","COMPLETE"
"ligamentJointStabilityStressTags","ligamentJointStabilityStressTags","STRESS","215","5","0","210","0","0","215","YES","COMPLETE"
"jointImpactStressTags","jointImpactStressTags","STRESS","215","5","0","210","0","0","215","YES","COMPLETE"
"cognitiveStressTags","cognitiveStressTags","STRESS","215","1","0","214","0","0","215","YES","COMPLETE"
"sportContextTags","sportContextTags","STRESS","215","1","0","214","0","0","215","YES","COMPLETE"
"recoveryDecayProfile","recoveryDecayProfile","STRESS","215","5","0","210","0","0","215","YES","COMPLETE"
"stressMagnitudeHint","stressMagnitudeHint","STRESS","215","5","0","210","0","0","215","YES","COMPLETE"
"badmintonTransferLevel","badmintonTransferLevel","BADMINTON_TRANSFER","215","183","0","32","0","0","215","YES","COMPLETE"
"badmintonTransferType","badmintonTransferType","BADMINTON_TRANSFER","215","183","0","32","0","0","215","YES","COMPLETE"
"badmintonSkillTargets","badmintonSkillTargets","BADMINTON_TRANSFER","215","183","0","32","0","0","215","YES","COMPLETE"
"badmintonPhysicalQualities","badmintonPhysicalQualities","BADMINTON_TRANSFER","215","183","0","32","0","0","215","YES","COMPLETE"
"transferConfidence","transferConfidence","BADMINTON_TRANSFER","215","183","1","31","0","0","215","YES","COMPLETE"
"sourceConfidenceLevel","sourceConfidenceLevel","SOURCE","215","0","0","215","0","0","215","NO","COMPLETE"
"finalSourceStatus","finalSourceStatus","SOURCE","215","0","0","215","0","0","215","NO","COMPLETE"
