"exerciseName","stableKey","reviewDebtDecision","safeForSeedMutation","missingFields","placeholderFields","placeholderValues","reason","recommendedNextPass"
"덤벨 스텝업","ex_704cbf1a","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"레그 컬","ex_2822ec2e","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"레그 프레스","ex_ab468462","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"버드독","ex_28347c1f","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"스탠딩 레그 컬","ex_b59bed7d","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"싱글 레그 레그 컬","ex_8824026f","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"원레그 레그 프레스","ex_a091b9fe","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"원암 케이블 플라이","ex_442617f6","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"인클라인 덤벨 플라이","ex_a61f307a","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"케이블 플라이","ex_4c779df2","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"플랫 덤벨 플라이","ex_91b749b3","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"할로우 바디 홀드","ex_2a826c82","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"데드버그","ex_d5bdffe1","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"래터럴 스텝다운","ex_69a56484","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"박스 스텝업","ex_6232f4bc","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"발목/고관절 가동성","ex_149730de","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"사이드 플랭크","ex_f6d43398","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"스트레칭","ex_dd16e07a","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"코펜하겐 플랭크","ex_a8385c4a","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"파머스 캐리","ex_a1fc4533","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"플랭크","ex_a44ae2ca","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"계단 오르기","ex_74c2d13b","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"러닝","ex_681d9ed2","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"로잉머신","ex_d7c90536","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"수영","ex_681eed4a","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"실내 자전거","ex_ab918e2b","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
"인터벌 러닝","ex_faae2044","ANATOMY_SUPPORTED_TEMPLATE","NO","movementSubtype","","","movementSubtype is blank.","MOVEMENT_SUBTYPE_PASS"
