"field","sourceColumn","fieldGroup","totalRows","blankBefore","placeholderBefore","validBefore","blankAfter","placeholderAfter","validAfter","changedInPass","nextAction"
"stableKey","stableKey","IDENTITY","215","0","0","215","0","0","215","0","COMPLETE"
"exerciseName","exerciseName","IDENTITY","215","0","0","215","0","0","215","0","COMPLETE"
"activityKind","currentActivityKind","PLANNING","215","0","0","215","0","0","215","0","COMPLETE"
"planningEligibility","currentPlanningEligibility","PLANNING","215","0","6","209","0","6","209","0","NORMALIZE_IN_NEXT_PASS"
"movementFamily","movementFamily","MOVEMENT","215","0","28","187","0","28","187","0","NORMALIZE_IN_NEXT_PASS"
"movementSubtype","movementSubtype","MOVEMENT","215","27","67","121","27","67","121","0","NORMALIZE_IN_NEXT_PASS"
"programSlot","programSlot","PLANNING","215","0","22","193","0","22","193","0","NORMALIZE_IN_NEXT_PASS"
"redundancyGroup","redundancyGroup","PLANNING","215","0","23","192","0","23","192","0","NORMALIZE_IN_NEXT_PASS"
"progressMetricType","progressMetricType","PROGRESSION","215","0","5","210","0","5","210","0","NORMALIZE_IN_NEXT_PASS"
"strengthProgressionGroup","strengthProgressionGroup","PROGRESSION","215","158","0","57","158","0","57","0","NORMALIZE_IN_NEXT_PASS"
"analysisEligibility","analysisEligibility","ANALYSIS","215","0","19","196","0","19","196","0","NORMALIZE_IN_NEXT_PASS"
"primaryStressProfile","primaryStressProfile","STRESS","215","0","0","215","0","0","215","0","COMPLETE"
"secondaryStressTags","secondaryStressTags","STRESS","215","0","0","215","0","0","215","65","COMPLETE"
"tendonStressTags","tendonStressTags","STRESS","215","0","0","215","0","0","215","39","COMPLETE"
"ligamentJointStabilityStressTags","ligamentJointStabilityStressTags","STRESS","215","0","0","215","0","0","215","53","COMPLETE"
"jointImpactStressTags","jointImpactStressTags","STRESS","215","0","0","215","0","0","215","0","COMPLETE"
"cognitiveStressTags","cognitiveStressTags","STRESS","215","0","0","215","0","0","215","18","COMPLETE"
"sportContextTags","sportContextTags","STRESS","215","0","0","215","0","0","215","18","COMPLETE"
"recoveryDecayProfile","recoveryDecayProfile","STRESS","215","0","0","215","0","0","215","0","COMPLETE"
"stressMagnitudeHint","stressMagnitudeHint","STRESS","215","0","0","215","0","0","215","0","COMPLETE"
"badmintonTransferLevel","badmintonTransferLevel","BADMINTON_TRANSFER","215","0","0","215","0","0","215","11","COMPLETE"
"badmintonTransferType","badmintonTransferType","BADMINTON_TRANSFER","215","0","0","215","0","0","215","39","COMPLETE"
"badmintonSkillTargets","badmintonSkillTargets","BADMINTON_TRANSFER","215","0","0","215","0","0","215","18","COMPLETE"
"badmintonPhysicalQualities","badmintonPhysicalQualities","BADMINTON_TRANSFER","215","0","0","215","0","0","215","36","COMPLETE"
"transferConfidence","transferConfidence","BADMINTON_TRANSFER","215","0","0","215","0","0","215","28","COMPLETE"
"sourceConfidenceLevel","sourceConfidenceLevel","SOURCE","215","0","0","215","0","0","215","0","COMPLETE"
"finalSourceStatus","finalSourceStatus","SOURCE","215","0","0","215","0","0","215","0","COMPLETE"
