"exerciseName","stableKey","field","oldValue","newValue","decisionType","reason"
"30초 반복 스매시 테스트","ex_91d8430b","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","User-approved HIGH confidence for direct badminton classification; remains only an app-internal repeated-overhead test marker."
"6방향 랜덤 콕줍기","ex_bc84eb7f","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"6코너 섀도우 풋워크","ex_33841b88","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"6코너 풋워크 최대반복 테스트","ex_c7977dfd","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"가벼운 콕줍기","ex_216351a1","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"랜덤 방향전환 드릴","ex_64422511","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"랜덤 비프 풋워크","ex_c5f4c242","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"랜덤 풋워크","ex_1c7f2342","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"린단 참고 페이스 체인지 풋워크","ex_5004ca76","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"멀티셔틀 풋워크","ex_752b45ae","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"스플릿 스텝","ex_c6d9efef","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"스플릿 스텝 리액션","ex_8e69fc74","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"안세영 참고 고강도 랠리 풋워크","ex_c1bf2aa8","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"앞뒤 랜덤 콕줍기","ex_4255e429","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"좌우 랜덤 콕줍기","ex_421ba24b","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","Clearly badminton-specific court footwork, reaction, or lunge-reach drill."
"배드민턴","ex_ae9ecdbc","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","User-approved HIGH confidence for direct badminton session or lesson classification; session content may still vary."
"배드민턴 레슨","ex_badminton_lesson","transferConfidence","LOW","HIGH","DIRECT_CONFIDENCE_CALIBRATION","User-approved HIGH confidence for direct badminton session or lesson classification; session content may still vary."
"농구","ex_1a4858d7","badmintonTransferLevel","GENERAL","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"농구","ex_1a4858d7","badmintonTransferType","GENERAL_CONDITIONING_SUPPORTIVE","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"농구","ex_1a4858d7","badmintonPhysicalQualities","AEROBIC_BASE/ANAEROBIC_REPEATABILITY","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"농구","ex_1a4858d7","transferConfidence","LOW","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"러닝 풋살","ex_aca9d312","badmintonTransferLevel","GENERAL","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"러닝 풋살","ex_aca9d312","badmintonTransferType","GENERAL_CONDITIONING_SUPPORTIVE","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"러닝 풋살","ex_aca9d312","badmintonPhysicalQualities","AEROBIC_BASE/ANAEROBIC_REPEATABILITY","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"러닝 풋살","ex_aca9d312","transferConfidence","LOW","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"축구","ex_1a4bbdcf","badmintonTransferLevel","GENERAL","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"축구","ex_1a4bbdcf","badmintonTransferType","GENERAL_CONDITIONING_SUPPORTIVE","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"축구","ex_1a4bbdcf","badmintonPhysicalQualities","AEROBIC_BASE/ANAEROBIC_REPEATABILITY","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"축구","ex_1a4bbdcf","transferConfidence","LOW","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"테니스","ex_2f3b56d0","badmintonTransferLevel","GENERAL","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"테니스","ex_2f3b56d0","badmintonTransferType","GENERAL_CONDITIONING_SUPPORTIVE","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"테니스","ex_2f3b56d0","badmintonPhysicalQualities","AEROBIC_BASE/ANAEROBIC_REPEATABILITY","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"테니스","ex_2f3b56d0","transferConfidence","LOW","NONE","OTHER_SPORT_TRANSFER_CLEANUP","Other-sport load remains represented by stress fields, not badminton transfer metadata."
"다이아몬드 푸시업","ex_debf6a8b","badmintonPhysicalQualities","NONE","SHOULDER_DURABILITY","GENERAL_STRENGTH_QUALITY_AUDIT","Push-up metadata explicitly includes shoulder/scapular control."
"덤벨 벤치프레스","ex_3a7d3eda","badmintonTransferLevel","GENERAL","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"덤벨 벤치프레스","ex_3a7d3eda","badmintonTransferType","GENERAL_STRENGTH_SUPPORTIVE","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"덤벨 벤치프레스","ex_3a7d3eda","transferConfidence","LOW","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
