"section","metric","value","status","details"
"INPUT","requiredInputFilesRead","11","INFO","outputs/v0.3.5.0_stress_transfer_backfilled_sidecar.csv | outputs/v0.3.5.0_stress_transfer_backfilled_sidecar.json | outputs/v0.3.5.0_stress_transfer_backfilled_sidecar.md | outputs/v0.3.5.0_badminton_transfer_backfill_report.md | outputs/v0.3.5.0_badminton_transfer_backfill_report.csv | outputs/v0.3.5.0_badminton_transfer_backfill_decision_log.csv | outputs/v0.3.5.0_badminton_transfer_backfill_blocked_queue.csv | outputs/v0.3.5.0_stress_blocked_closure_report.md | outputs/v0.3.5.0_stress_blocked_closure_report.csv | outputs/v0.3.5.0_metadata_coverage_inventory_after_stress_transfer.md | outputs/v0.3.5.0_metadata_coverage_inventory_after_stress_transfer.csv"
"INPUT","rowCount","215","INFO","Pass 2.5 base sidecar rows."
"INPUT","duplicateStableKeyGroups","0","INFO",""
"SAFETY","safeForSeedMutationNO","215","INFO",""
"DELIMITER","badmintonTransferType","28","INFO","Rows normalized to pipe delimiters."
"DELIMITER","badmintonSkillTargets","18","INFO","Rows normalized to pipe delimiters."
"DELIMITER","badmintonPhysicalQualities","28","INFO","Rows normalized to pipe delimiters."
"DELIMITER","secondaryStressTags","65","INFO","Rows normalized to pipe delimiters."
"DELIMITER","tendonStressTags","39","INFO","Rows normalized to pipe delimiters."
"DELIMITER","ligamentJointStabilityStressTags","53","INFO","Rows normalized to pipe delimiters."
"DELIMITER","jointImpactStressTags","0","INFO","Rows normalized to pipe delimiters."
"DELIMITER","cognitiveStressTags","18","INFO","Rows normalized to pipe delimiters."
"DELIMITER","sportContextTags","18","INFO","Rows normalized to pipe delimiters."
"DIRECT_BEFORE","HIGH","1","INFO","DIRECT transferConfidence count."
"DIRECT_BEFORE","LOW","17","INFO","DIRECT transferConfidence count."
"DIRECT_AFTER","HIGH","18","INFO","DIRECT transferConfidence count."
"TRANSFER_CLEANUP","otherSportRowsSetToNONE","4","INFO","농구 | 러닝 풋살 | 축구 | 테니스"
"TRANSFER_CLEANUP","generalStrengthNoneQualityBefore","11","INFO",""
"TRANSFER_CLEANUP","generalStrengthNoneQualityAfter","0","INFO",""
"TRANSFER_CLEANUP","blockedRows","0","INFO",""
"TRANSFER_LEVEL_AFTER","DIRECT","18","INFO",""
"TRANSFER_LEVEL_AFTER","GENERAL","18","INFO",""
"TRANSFER_LEVEL_AFTER","NONE","29","INFO",""
"TRANSFER_LEVEL_AFTER","SUPPORTIVE","150","INFO",""
"TRANSFER_TYPE_AFTER","ANKLE_CALF_SSC_SUPPORTIVE","7","INFO",""
"TRANSFER_TYPE_AFTER","CORE_STABILITY_SUPPORTIVE","10","INFO",""
"TRANSFER_TYPE_AFTER","FOOTWORK_DIRECT|CHANGE_OF_DIRECTION_DIRECT|RALLY_CONDITIONING_DIRECT","3","INFO",""
"TRANSFER_TYPE_AFTER","FOOTWORK_DIRECT|CHANGE_OF_DIRECTION_DIRECT|REACTION_DECISION_DIRECT","7","INFO",""
"TRANSFER_TYPE_AFTER","FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION_DECISION_DIRECT","4","INFO",""
"TRANSFER_TYPE_AFTER","GENERAL_CONDITIONING_SUPPORTIVE","9","INFO",""
"TRANSFER_TYPE_AFTER","GENERAL_STRENGTH_SUPPORTIVE","9","INFO",""
"TRANSFER_TYPE_AFTER","GRIP_WRIST_SUPPORTIVE","18","INFO",""
"TRANSFER_TYPE_AFTER","LOWER_BODY_SUPPORTIVE","56","INFO",""
"TRANSFER_TYPE_AFTER","LOWER_BODY_SUPPORTIVE|ANKLE_CALF_SSC_SUPPORTIVE","10","INFO",""
"TRANSFER_TYPE_AFTER","LUNGE_REACH_DIRECT|CHANGE_OF_DIRECTION_DIRECT","1","INFO",""
"TRANSFER_TYPE_AFTER","NONE","29","INFO",""
"TRANSFER_TYPE_AFTER","OVERHEAD_HITTING_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT","1","INFO",""
"TRANSFER_TYPE_AFTER","OVERHEAD_HITTING_DIRECT|RALLY_CONDITIONING_DIRECT","1","INFO",""
"TRANSFER_TYPE_AFTER","RALLY_CONDITIONING_DIRECT|REACTION_DECISION_DIRECT|CHANGE_OF_DIRECTION_DIRECT","1","INFO",""
"TRANSFER_TYPE_AFTER","SHOULDER_SCAPULAR_SUPPORTIVE","49","INFO",""
"TRANSFER_CONFIDENCE_AFTER","HIGH","18","INFO",""
"TRANSFER_CONFIDENCE_AFTER","LOW","70","INFO",""
"TRANSFER_CONFIDENCE_AFTER","MEDIUM","98","INFO",""
"TRANSFER_CONFIDENCE_AFTER","NONE","29","INFO",""
"REMAINING_DEBT","planningEligibility","blank=0;placeholder=6","INFO","Scheduled for the movement/placeholder normalization pass."
"REMAINING_DEBT","movementFamily","blank=0;placeholder=28","INFO","Scheduled for the movement/placeholder normalization pass."
"REMAINING_DEBT","movementSubtype","blank=27;placeholder=67","INFO","Scheduled for the movement/placeholder normalization pass."
"REMAINING_DEBT","programSlot","blank=0;placeholder=22","INFO","Scheduled for the movement/placeholder normalization pass."
"REMAINING_DEBT","redundancyGroup","blank=0;placeholder=23","INFO","Scheduled for the movement/placeholder normalization pass."
"REMAINING_DEBT","progressMetricType","blank=0;placeholder=5","INFO","Scheduled for the movement/placeholder normalization pass."
"REMAINING_DEBT","strengthProgressionGroup","blank=158;placeholder=0","INFO","Scheduled for the movement/placeholder normalization pass."
"REMAINING_DEBT","analysisEligibility","blank=0;placeholder=19","INFO","Scheduled for the movement/placeholder normalization pass."
"VALIDATION","PASS2.6-001","PASS","PASS","Input/output row count: 215."
"VALIDATION","PASS2.6-002","PASS","PASS","Duplicate stableKey groups: 0."
"VALIDATION","PASS2.6-003","PASS","PASS","Rows not marked safeForSeedMutation=NO: 0."
"VALIDATION","PASS2.6-004","PASS","PASS","Changed seed files: 0."
"VALIDATION","PASS2.6-005","PASS","PASS","Changed protected app/schema/generator files: 0; user DB was not accessed."
"VALIDATION","PASS2.6-006","PASS","PASS","No Gradle build or test command was run."
"VALIDATION","PASS2.6-007","PASS","PASS","No network access was used."
"VALIDATION","PASS2.6-008","PASS","PASS","No seed candidate output was generated."
"VALIDATION","PASS2.6-009","PASS","PASS","Unexpected changed cells: 0; changed fields: secondaryStressTags, tendonStressTags, ligamentJointStabilityStressTags, badmintonPhysicalQualities, badmintonTransferLevel, badmintonTransferType, transferConfidence, cognitiveStressTags, sportContextTags, badmintonSkillTargets."
"VALIDATION","PASS2.6-010","PASS","PASS","primaryStressProfile changed rows: 0."
"VALIDATION","PASS2.6-011","PASS","PASS","recoveryDecayProfile changed rows: 0."
"VALIDATION","PASS2.6-012","PASS","PASS","stressMagnitudeHint changed rows: 0."
"VALIDATION","PASS2.6-013","PASS","PASS","Source blanks: 0; source changes: 0."
"VALIDATION","PASS2.6-014","PASS","PASS","Slash delimiters remaining in transfer token fields: 0."
"VALIDATION","PASS2.6-015","PASS","PASS","Slash delimiters remaining in stress tag fields: 0."
"VALIDATION","PASS2.6-016","PASS","PASS","Blank transfer cells: 0."
"VALIDATION","PASS2.6-017","PASS","PASS","Transfer placeholder cells: 0."
"VALIDATION","PASS2.6-018","PASS","PASS","DIRECT rows outside approved badminton-like families: 0."
"VALIDATION","PASS2.6-019","PASS","PASS","Ordinary strength rows marked DIRECT: 0."
"VALIDATION","PASS2.6-020","PASS","PASS","Other-sport sessions retaining badminton transfer: 0."
"VALIDATION","PASS2.6-021","PASS","PASS","Unblocked GENERAL_STRENGTH_SUPPORTIVE rows with NONE quality: 0."
"VALIDATION","PASS2.6-022","PASS","PASS","Updated coverage inventory files were created."
