"metric","before","after","result"
"transfer_DIRECT","18","18","PASS"
"transfer_SUPPORTIVE","150","75","PASS"
"transfer_GENERAL","18","93","PASS"
"transfer_NONE","29","29","PASS"
"stressMagnitude_VERY_HIGH","6","6","PASS"
"stressMagnitude_HIGH","35","36","PASS"
"stressMagnitude_MODERATE","108","107","PASS"
"stressMagnitude_LOW","66","66","PASS"
"P31-001","row count is 215","","PASS"
"P31-002","duplicate stableKey is 0","","PASS"
"P31-003","safeForSeedMutation remains NO","","PASS"
"P31-004","one-arm cable row variants remain SUPPORTIVE","","PASS"
"P31-005","Superman is GENERAL","","PASS"
"P31-006","leg extension/curl rows remain LOW","","PASS"
"P31-007","bench press/dip/bench dip are HIGH","","PASS"
"P31-008","six stress axes are populated","","PASS"
"P31-009","SUPPORTIVE overclassification was reduced without changing DIRECT","","PASS"
"P31-010","blocked queue is empty","","PASS"
"P31-011","no seed/resource/app mutation performed","","PASS"
