"exerciseName","stableKey","field","sourceColumn","oldValue","newValue","decisionCategory","reason"
"B-스탠스 RDL","ex_201f6426","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"EZ바 컬","ex_8633d8db","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"V업","ex_644e0f9d","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"Yates Row","ex_8e4bf08e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"글루트 브릿지","ex_389920ab","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"네거티브 풀업","ex_e4f911bb","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"다이아몬드 푸시업","ex_debf6a8b","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 래터럴 레이즈","ex_93538692","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 루마니안 데드리프트","ex_9523db82","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 리스트 익스텐션","ex_72f11dc5","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 리스트 컬","ex_95028bfe","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 벤치프레스","ex_3a7d3eda","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 숄더프레스","ex_79f3bdbe","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 스텝업","ex_704cbf1a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 컬","ex_281347da","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 킥백","ex_da56a4fe","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 풀오버","ex_708e64ce","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"덤벨 프로네이션/수피네이션","ex_f6703b06","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"데드리프트","barbell_deadlift","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"디클라인 푸시업","ex_fb67af37","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"딥스","ex_6463edad","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"라잉 트라이셉스 익스텐션","ex_d20b7487","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"래터럴 런지","ex_b4b198de","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"랫풀다운","ex_dc9e5953","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"런지","ex_64644b5e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"레그 익스텐션","ex_b78a8f95","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"레그 컬","ex_2822ec2e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"레그 프레스","ex_ab468462","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"로프 해머 컬","ex_c1a81cb2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"루마니안 데드리프트","ex_d2bb7946","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리닝 래터럴 레이즈","ex_70f19bf","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리버스 노르딕 컬","ex_8a3800f1","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리버스 런지","ex_c8bcf3ce","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리버스 리스트 컬","ex_8e18b02a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리버스 컬","ex_dd2f732e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리어델트 케이블 플라이","ex_7deabeba","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리어델트 플라이","ex_7176cbee","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"링 로우","ex_282a9d87","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"마운틴 클라이머","ex_a9b52886","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"맨몸 스쿼트","ex_cb3c4dc2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"머신 숄더프레스","ex_4aa3725a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"머신 체스트프레스","ex_1dbee10e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"메도우즈 로우","ex_f459ad2a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"바벨 로우","ex_de46b7f6","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"밴드 외회전","ex_e8ff8cfa","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"버드독","ex_28347c1f","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"벤치 딥스","ex_deca2b61","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"벤치프레스","barbell_bench_press","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"슈퍼맨","ex_284ecca6","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스미스 머신 런지","ex_1052e9fa","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스미스 머신 스쿼트","ex_fa3416f6","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스캡 풀업","ex_e1894690","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스쿼트","barbell_back_squat","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스탠딩 레그 컬","ex_b59bed7d","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스탠딩 카프 레이즈","ex_bd072cd","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스트레이트암 풀다운","ex_ca5cce66","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스파이더 컬","ex_516f4456","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"스플릿 스쿼트","ex_f2a79d37","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"시티드 원암 케이블 로우","ex_a76f20b6","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"시티드 카프 레이즈","ex_5c8751d2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"싱글 레그 글루트 브릿지","ex_5715d6ca","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"싱글 레그 레그 익스텐션","ex_d60745b4","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
