"section","metric","value","status","details"
"INPUT","requiredFilesRead","9","INFO","outputs/v0.3.5.0_pass2_6_transfer_sanity_sidecar.csv | outputs/v0.3.5.0_pass2_6_transfer_sanity_sidecar.json | outputs/v0.3.5.0_pass2_6_transfer_sanity_sidecar.md | outputs/v0.3.5.0_pass2_6_transfer_sanity_report.md | outputs/v0.3.5.0_pass2_6_transfer_sanity_report.csv | outputs/v0.3.5.0_pass2_6_transfer_sanity_decision_log.csv | outputs/v0.3.5.0_pass2_6_transfer_sanity_blocked_queue.csv | outputs/v0.3.5.0_pass2_6_metadata_coverage_inventory.md | outputs/v0.3.5.0_pass2_6_metadata_coverage_inventory.csv"
"INPUT","optionalFilesRead","2","INFO","outputs/v0.3.5.0_final_classification_check.md | outputs/v0.3.5.0_seed_candidate_readiness_report.md"
"INPUT","rowCount","215","INFO",""
"INPUT","duplicateStableKeyGroups","0","INFO",""
"SAFETY","safeForSeedMutationNO","215","INFO",""
"TARGET_COVERAGE","planningEligibility","blank:0->0;placeholder:6->0;changed:215","INFO",""
"TARGET_COVERAGE","movementFamily","blank:0->0;placeholder:28->0;changed:28","INFO",""
"TARGET_COVERAGE","movementSubtype","blank:27->0;placeholder:67->0;changed:94","INFO",""
"TARGET_COVERAGE","programSlot","blank:0->0;placeholder:22->0;changed:30","INFO",""
"TARGET_COVERAGE","redundancyGroup","blank:0->0;placeholder:23->0;changed:26","INFO",""
"TARGET_COVERAGE","progressMetricType","blank:0->0;placeholder:5->0;changed:12","INFO",""
"TARGET_COVERAGE","strengthProgressionGroup","blank:158->0;placeholder:0->0;changed:158","INFO",""
"TARGET_COVERAGE","analysisEligibility","blank:0->0;placeholder:19->0;changed:155","INFO",""
"DECISION_CATEGORY","DERIVE_FROM_CURRENT_METADATA","495","INFO",""
"DECISION_CATEGORY","DERIVE_FROM_EXERCISE_NAME_AND_FAMILY","92","INFO",""
"DECISION_CATEGORY","NORMALIZE_TO_APPROVED_TEMPLATE","64","INFO",""
"DECISION_CATEGORY","NORMALIZE_TO_GENERIC_SUBTYPE","2","INFO",""
"DECISION_CATEGORY","NORMALIZE_TO_NOT_APPLICABLE","65","INFO",""
"CHANGED_FIELD","analysisEligibility","155","INFO","Changed-cell count."
"CHANGED_FIELD","movementFamily","28","INFO","Changed-cell count."
"CHANGED_FIELD","movementSubtype","94","INFO","Changed-cell count."
"CHANGED_FIELD","planningEligibility","215","INFO","Changed-cell count."
"CHANGED_FIELD","programSlot","30","INFO","Changed-cell count."
"CHANGED_FIELD","progressMetricType","12","INFO","Changed-cell count."
"CHANGED_FIELD","redundancyGroup","26","INFO","Changed-cell count."
"CHANGED_FIELD","strengthProgressionGroup","158","INFO","Changed-cell count."
"BLOCKED","blockedFieldRows","0","INFO",""
"UNCHANGED_DOMAIN","sourceChanges","0","INFO",""
"UNCHANGED_DOMAIN","stressChanges","0","INFO",""
"UNCHANGED_DOMAIN","transferChanges","0","INFO",""
"VALIDATION","PASS3-001","PASS","PASS","Row count: 215."
"VALIDATION","PASS3-002","PASS","PASS","Duplicate stableKey groups: 0."
"VALIDATION","PASS3-003","PASS","PASS","Rows not safeForSeedMutation=NO: 0."
"VALIDATION","PASS3-004","PASS","PASS","Changed seed files: 0."
"VALIDATION","PASS3-005","PASS","PASS","Changed protected app/schema/generator files: 0; user DB was not accessed."
"VALIDATION","PASS3-006","PASS","PASS","No Gradle build or tests were run."
"VALIDATION","PASS3-007","PASS","PASS","No network access was used."
"VALIDATION","PASS3-008","PASS","PASS","No seed candidate was generated."
"VALIDATION","PASS3-009","PASS","PASS","Unexpected changed cells: 0; changed source columns: currentPlanningEligibility, strengthProgressionGroup, analysisEligibility, movementSubtype, movementFamily, programSlot, redundancyGroup, progressMetricType."
"VALIDATION","PASS3-010","PASS","PASS","Source changes: 0; source blanks: 0."
"VALIDATION","PASS3-011","PASS","PASS","Stress changes: 0; stress blanks: 0."
"VALIDATION","PASS3-012","PASS","PASS","Transfer changes: 0; transfer blanks: 0."
"VALIDATION","PASS3-013","PASS","PASS","No unblocked planningEligibility placeholder remains."
"VALIDATION","PASS3-014","PASS","PASS","No unblocked movementFamily placeholder remains."
"VALIDATION","PASS3-015","PASS","PASS","No unblocked movementSubtype blank or placeholder remains."
"VALIDATION","PASS3-016","PASS","PASS","No unblocked programSlot placeholder remains."
"VALIDATION","PASS3-017","PASS","PASS","No unblocked redundancyGroup placeholder remains."
"VALIDATION","PASS3-018","PASS","PASS","No unblocked progressMetricType placeholder remains."
"VALIDATION","PASS3-019","PASS","PASS","No unblocked analysisEligibility placeholder remains."
"VALIDATION","PASS3-020","PASS","PASS","No unblocked strengthProgressionGroup blank remains."
"VALIDATION","PASS3-021","PASS","PASS","analysisEligibility rows containing slash delimiters: 0."
"VALIDATION","PASS3-022","PASS","PASS","Updated coverage inventory files were created."
