"exerciseName","stableKey","reviewDebtDecision","safeForSeedMutation","missingFields","placeholderFields","placeholderValues","reason","recommendedNextPass"
"Yates Row","ex_8e4bf08e","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"글루트 브릿지","ex_389920ab","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"네거티브 풀업","ex_e4f911bb","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"덤벨 풀오버","ex_708e64ce","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup|progressMetricType","movementFamily=PULLOVER_LAT_CHEST_ACCESSORY_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=PULLOVER_ACCESSORY_REVIEW|redundancyGroup=PULLOVER_LAT_CHEST_ACCESSORY_REVIEW|progressMetricType=REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"딥스","ex_6463edad","ANATOMY_SUPPORTED_TEMPLATE","NO","","progressMetricType|analysisEligibility","progressMetricType=REVIEW|analysisEligibility=REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"래터럴 런지","ex_b4b198de","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"런지","ex_64644b5e","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"리버스 노르딕 컬","ex_8a3800f1","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|redundancyGroup","movementFamily=QUAD_ECCENTRIC_KNEE_DOMINANT_REVIEW|programSlot=KNEE_DOMINANT_ACCESSORY_REVIEW|redundancyGroup=QUAD_ECCENTRIC_KNEE_DOMINANT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"리버스 런지","ex_c8bcf3ce","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"링 로우","ex_282a9d87","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"메도우즈 로우","ex_f459ad2a","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"벤치 딥스","ex_deca2b61","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|redundancyGroup","movementFamily=DIP_TRICEPS_PUSH_REVIEW|programSlot=TRICEPS_ACCESSORY_REVIEW|redundancyGroup=DIP_TRICEPS_PUSH_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스미스 머신 런지","ex_1052e9fa","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스미스 머신 스쿼트","ex_fa3416f6","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스캡 풀업","ex_e1894690","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스탠딩 카프 레이즈","ex_bd072cd","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스플릿 스쿼트","ex_f2a79d37","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"시티드 원암 케이블 로우","ex_a76f20b6","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"시티드 카프 레이즈","ex_5c8751d2","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"싱글 레그 글루트 브릿지","ex_5715d6ca","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"싱글 레그 카프 레이즈","ex_5ca7133f","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"싱글 레그 힙 쓰러스트","ex_d634055c","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
