"exerciseName","stableKey","currentCategoryType","currentMovementPattern","currentMovementCategory","currentForceType","currentActivityKind","currentPlanningEligibility","proposedMovementFamily","proposedMovementSubtype","proposedDetailedMuscleTags","proposedMuscleContribution","proposedProgramSlot","proposedRedundancyGroup","proposedProgressMetricType","proposedFatigueProfile","proposedBadmintonTransferDirect","proposedBadmintonTransferSupportive","proposedAnalysisEligibility","proposedEvidenceSourceGroup","proposedEvidenceLevel","metadataConfidenceCandidate","sourceReviewRequired","rowManualReviewRequired","templateMissingReviewRequired","stressReviewRequired","sportSessionReviewRequired","sourceOnlyReview","overbroadManualReview","safeForTemplateDefault","safeForSeedMutation","proposalStatus","proposalReason","recommendedNextAction","notes"
"B-스탠스 RDL","ex_201f6426","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","HINGE","EXERCISE","NOT_PRESENT_IN_SEED","DEADLIFT_HINGE_VARIANTS","B_STANCE_RDL","GLUTE_MAX|HAMSTRINGS|ERECTOR_SPINAE|LATISSIMUS_DORSI|GRIP_FLEXORS|TRAPEZIUS_MIDDLE|DEEP_CORE|GLUTE_MED_MIN|OBLIQUES|RHOMBOIDS","{""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.25,""ERECTOR_SPINAE"":0.2,""LATISSIMUS_DORSI"":0.08,""GRIP_FLEXORS"":0.07,""DEEP_CORE"":0.07,""TRAPEZIUS_MIDDLE"":0.04,""GLUTE_MED_MIN"":0.04}","UNILATERAL_HINGE_ACCESSORY","SINGLE_LEG_HINGE_STABILITY","VOLUME_LOAD","LOCAL_MUSCLE,HIP_STABILITY,LOW_TO_MODERATE_SYSTEMIC","NONE","POSTERIOR_CHAIN_CAPACITY, HIP_STABILITY_SUPPORT","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_6|C_DEADLIFT_EMG_PMC7046193|C_GLUTE_MAX_REVIEW_PMC7039033","anatomy_textbook","NEEDS_REVIEW","NO","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Unilateral hinge must not inherit heavy hinge slot or redundancy.","CONFIRM_UNILATERAL_HINGE_TEMPLATE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"EZ바 컬","ex_8633d8db","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","ISOLATION","EXERCISE","NOT_PRESENT_IN_SEED","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","EZ_BAR_CURL","BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|FOREARM_FLEXORS|GRIP_FLEXORS|DEEP_CORE","{""BICEPS_BRACHII"":0.45,""BRACHIALIS"":0.18,""BRACHIORADIALIS"":0.12,""FOREARM_FLEXORS"":0.10,""GRIP_FLEXORS"":0.08,""DEEP_CORE"":0.07}","BICEPS_ACCESSORY","ELBOW_FLEXION_CURL","VOLUME_LOAD","LOCAL_MUSCLE,ELBOW_FLEXION,GRIP_FOREARM_LOW_TO_MODERATE,LOW_SYSTEMIC","NONE","GRIP_FOREARM_SUPPORT_WHEN_MEANINGFUL","FATIGUE,HYPERTROPHY_VOLUME,BADMINTON_TRANSFER,BALANCE","A_OPENSTAX_11_5|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Arm family is corrected; badminton-support source still needs network recheck.","VERIFY_EXISTING_SOURCE_IDS","V2 taxonomy correction draft only. Muscle contribution is an app-internal heuristic, not a physiological measurement. Do not mutate seed without human approval."
"V업","ex_644e0f9d","category=근력운동; movement_category=ACCESSORY; force_type=CORE; movement_pattern=CORE_FLEXION|ANTERIOR_CORE|HIP_FLEXOR_ACCESSORY","CORE_FLEXION|ANTERIOR_CORE|HIP_FLEXOR_ACCESSORY","ACCESSORY","CORE","EXERCISE","NOT_PRESENT_IN_SEED","CORE_FLEXION_ANTERIOR_CORE_REVIEW","V_UP","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","NEEDS_SOURCE_TEMPLATE","heuristic_only","NEEDS_REVIEW","YES","YES","YES","NO","NO","NO","NO","NO","CANDIDATE","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. No approved family template; concrete muscle values were not invented."
"Yates Row","ex_8e4bf08e","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","PULL","EXERCISE","NOT_PRESENT_IN_SEED","ROW_VARIANTS","NEEDS_SUBTYPE_REVIEW","LATISSIMUS_DORSI|RHOMBOIDS|TRAPEZIUS_MIDDLE|POSTERIOR_DELTOID|BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|TRAPEZIUS_LOWER|ROTATOR_CUFF_EXTERNAL|GRIP_FLEXORS|DEEP_CORE|OBLIQUES","{""LATISSIMUS_DORSI"":0.25,""RHOMBOIDS"":0.15,""TRAPEZIUS_MIDDLE"":0.15,""POSTERIOR_DELTOID"":0.12,""BICEPS_BRACHII"":0.1,""BRACHIALIS"":0.05,""BRACHIORADIALIS"":0.04,""GRIP_FLEXORS"":0.05,""TRAPEZIUS_LOWER"":0.04,""DEEP_CORE"":0.03,""OBLIQUES"":0.02}","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","VOLUME_LOAD","LOCAL_MUSCLE, NEURAL_HEAVY moderate for heavy barbell, GRIP_FOREARM, ANTI_ROTATION for unilateral","NONE","SHOULDER_DURABILITY, ANTI_ROTATION_STABILITY, GRIP_FOREARM","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|C_INVERTED_ROW_EMG_SNARR_ESCO_2013|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","NEEDS_REVIEW","YES","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Inverted-row evidence is retained, but non-inverted row subtype needs manual source review. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"글루트 브릿지","ex_389920ab","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY","HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY","STRENGTH","HINGE","EXERCISE","NOT_PRESENT_IN_SEED","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","NEEDS_SUBTYPE_REVIEW","GLUTE_MAX|HAMSTRINGS|GLUTE_MED_MIN|HIP_ADDUCTORS|DEEP_CORE|OBLIQUES","{""GLUTE_MAX"":0.45,""HAMSTRINGS"":0.15,""GLUTE_MED_MIN"":0.12,""HIP_ADDUCTORS"":0.08,""DEEP_CORE"":0.1,""OBLIQUES"":0.05,""QUADRICEPS"":0.05}","GLUTE_POSTERIOR_CHAIN_ACCESSORY","HIP_THRUST_GLUTE","VOLUME_LOAD","LOCAL_MUSCLE, moderate systemic if heavily loaded, low axial compared with deadlift","NONE","POSTERIOR_CHAIN_CAPACITY, HIP_STABILITY_SUPPORT","FATIGUE, HYPERTROPHY_VOLUME, BALANCE","C_HIP_THRUST_REVIEW_PMC6544005|C_GLUTE_MAX_REVIEW_PMC7039033|C_GLUTE_REHAB_EMG_PMC3201064","emg_study","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: C_GLUTE_REHAB_EMG_PMC3201064"
"네거티브 풀업","ex_e4f911bb","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|ECCENTRIC_PULLING","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|ECCENTRIC_PULLING","STRENGTH","PULL","EXERCISE","NOT_PRESENT_IN_SEED","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","NEEDS_SUBTYPE_REVIEW","LATISSIMUS_DORSI|TERES_MAJOR|BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|TRAPEZIUS_LOWER|TRAPEZIUS_MIDDLE|GRIP_FLEXORS|DEEP_CORE|ROTATOR_CUFF_EXTERNAL","{""LATISSIMUS_DORSI"":0.32,""TERES_MAJOR"":0.1,""BICEPS_BRACHII"":0.14,""BRACHIALIS"":0.07,""BRACHIORADIALIS"":0.06,""TRAPEZIUS_LOWER"":0.08,""TRAPEZIUS_MIDDLE"":0.06,""GRIP_FLEXORS"":0.08,""DEEP_CORE"":0.05,""ROTATOR_CUFF_EXTERNAL"":0.04}","VERTICAL_PULL_STRENGTH","VERTICAL_PULL_COMPOUND","VOLUME_LOAD","LOCAL_MUSCLE, NEURAL_HEAVY if weighted, GRIP_FOREARM","NONE","GRIP_FOREARM, SHOULDER_DURABILITY","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924"
"다이아몬드 푸시업","ex_debf6a8b","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH|TRICEPS_EMPHASIS","PUSH_HORIZONTAL|CHEST_STRENGTH|TRICEPS_EMPHASIS","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","PECTORALIS_MAJOR_STERNAL|PECTORALIS_MAJOR_CLAVICULAR|ANTERIOR_DELTOID|TRICEPS_BRACHII|SERRATUS_ANTERIOR|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|DEEP_CORE","{""PECTORALIS_MAJOR_STERNAL"":0.3,""PECTORALIS_MAJOR_CLAVICULAR"":0.15,""ANTERIOR_DELTOID"":0.2,""TRICEPS_BRACHII"":0.2,""SERRATUS_ANTERIOR"":0.05,""ROTATOR_CUFF_EXTERNAL"":0.05,""DEEP_CORE"":0.05}","UPPER_PUSH_STRENGTH","HORIZONTAL_PUSH_COMPOUND","VOLUME_LOAD","SYSTEMIC moderate, NEURAL_HEAVY moderate-to-high, LOCAL_MUSCLE","NONE","UPPER_PUSH_CAPACITY, SHOULDER_CONTROL if relevant","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|C_BENCH_INCLINE_EMG_PMC7579505|B_ACSM_2009_PMID19204579","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"덤벨 래터럴 레이즈","ex_93538692","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY","SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY","ACCESSORY","ISOLATION","EXERCISE","NOT_PRESENT_IN_SEED","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","NEEDS_SUBTYPE_REVIEW","LATERAL_DELTOID|POSTERIOR_DELTOID|TRAPEZIUS_UPPER|TRAPEZIUS_MIDDLE|ROTATOR_CUFF_EXTERNAL|SERRATUS_ANTERIOR|DEEP_CORE","{""LATERAL_DELTOID"":0.35,""POSTERIOR_DELTOID"":0.25,""TRAPEZIUS_UPPER"":0.1,""TRAPEZIUS_MIDDLE"":0.08,""ROTATOR_CUFF_EXTERNAL"":0.1,""SERRATUS_ANTERIOR"":0.07,""DEEP_CORE"":0.05}","SHOULDER_ACCESSORY","DELTOID_ISOLATION","VOLUME_LOAD","LOCAL_MUSCLE, LOW systemic","NONE","SHOULDER_DURABILITY if controlled low-load","FATIGUE, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"덤벨 루마니안 데드리프트","ex_9523db82","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","STRENGTH","HINGE","EXERCISE","NOT_PRESENT_IN_SEED","DEADLIFT_HINGE_VARIANTS","ROMANIAN_DEADLIFT","GLUTE_MAX|HAMSTRINGS|ERECTOR_SPINAE|LATISSIMUS_DORSI|GRIP_FLEXORS|TRAPEZIUS_MIDDLE|DEEP_CORE|GLUTE_MED_MIN|OBLIQUES|RHOMBOIDS","{""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.25,""ERECTOR_SPINAE"":0.2,""LATISSIMUS_DORSI"":0.08,""GRIP_FLEXORS"":0.07,""DEEP_CORE"":0.07,""TRAPEZIUS_MIDDLE"":0.04,""GLUTE_MED_MIN"":0.04}","MAIN_HINGE_STRENGTH","HEAVY_HINGE","ESTIMATED_1RM","SYSTEMIC, NEURAL_HEAVY, LOCAL_MUSCLE, GRIP_FOREARM, LONG or VERY_LONG decay","NONE","POSTERIOR_CHAIN_CAPACITY, HIP_STABILITY_SUPPORT","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_6|C_DEADLIFT_EMG_PMC7046193|C_GLUTE_MAX_REVIEW_PMC7039033","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement."
"덤벨 리스트 익스텐션","ex_72f11dc5","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT","WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT","ACCESSORY","ISOLATION","EXERCISE","NOT_PRESENT_IN_SEED","FOREARM_GRIP_ACCESSORY_REVIEW","WRIST_EXTENSION","FOREARM_FLEXORS|FOREARM_EXTENSORS|PRONATOR_SUPINATOR_GROUP|GRIP_FLEXORS|WRIST_STABILIZERS","REVIEW","FOREARM_GRIP_ACCESSORY_REVIEW","FOREARM_WRIST_GRIP","QUALITY_BASED","LOCAL_MUSCLE,GRIP_FOREARM,WRIST_FOREARM_REVIEW,LOW_SYSTEMIC","NONE","GRIP_FOREARM_SUPPORT","FATIGUE,HYPERTROPHY_VOLUME,BADMINTON_TRANSFER,BALANCE","A_OPENSTAX_11_5|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","LOW","YES","NO","YES","NO","NO","NO","NO","NO","NO","NEEDS_TEMPLATE_DEFINITION","Forearm/grip rows are separated from arm isolation; subtype contribution remains under review.","DEFINE_AND_REVIEW_FAMILY_TEMPLATE","V2 taxonomy correction draft only. Muscle contribution is an app-internal heuristic, not a physiological measurement. Do not mutate seed without human approval."
