"exerciseName","stableKey","previousReviewDebtDecision","reviewDebtDecision","templateKey","movementFamily","movementSubtype","primaryStressProfile","badmintonTransferLevel","decisionPackStatus","decisionPackReason","sourceReviewRequired","safeForSeedMutation"
"덤벨 루마니안 데드리프트","ex_9523db82","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","DEADLIFT_HINGE_VARIANTS","DUMBBELL_ROMANIAN_DEADLIFT","HINGE_POSTERIOR_CHAIN_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile HINGE_POSTERIOR_CHAIN_STRESS was applied with separate detail tags.","NO","NO"
"데드리프트","barbell_deadlift","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","DEADLIFT_HINGE_VARIANTS","CONVENTIONAL_DEADLIFT","HINGE_POSTERIOR_CHAIN_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile HINGE_POSTERIOR_CHAIN_STRESS was applied with separate detail tags.","NO","NO"
"레그 익스텐션","ex_b78a8f95","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","KNEE_EXTENSION_QUAD_ISOLATION","KNEE_EXTENSION_QUAD_ISOLATION","LEG_EXTENSION","","","READY_AFTER_DECISION_PACK","Approved reusable template KNEE_EXTENSION_QUAD_ISOLATION was applied.","NO","NO"
"레그 컬","ex_2822ec2e","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","HAMSTRING_CURL_VARIANTS","HAMSTRING_CURL_VARIANTS","","","","READY_AFTER_DECISION_PACK","Approved reusable template HAMSTRING_CURL_VARIANTS was applied.","NO","NO"
"레그 프레스","ex_ab468462","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","","","","READY_AFTER_DECISION_PACK","Approved reusable template LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS was applied.","NO","NO"
"루마니안 데드리프트","ex_d2bb7946","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","DEADLIFT_HINGE_VARIANTS","ROMANIAN_DEADLIFT","HINGE_POSTERIOR_CHAIN_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile HINGE_POSTERIOR_CHAIN_STRESS was applied with separate detail tags.","NO","NO"
"리버스 노르딕 컬","ex_8a3800f1","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","QUAD_ECCENTRIC_KNEE_DOMINANT_REVIEW","REVERSE_NORDIC_CURL","ECCENTRIC_TENDON_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile ECCENTRIC_TENDON_STRESS was applied with separate detail tags.","NO","NO"
"버드독","ex_28347c1f","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","ANTI_ROTATION_ANTI_EXTENSION_CORE","ANTI_ROTATION_ANTI_EXTENSION_CORE","","","","READY_AFTER_DECISION_PACK","Approved reusable template ANTI_ROTATION_ANTI_EXTENSION_CORE was applied.","NO","NO"
"벤치 딥스","ex_deca2b61","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","DIP_TRICEPS_PUSH_REVIEW","BENCH_DIP","DIP_PUSH_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile DIP_PUSH_STRESS was applied with separate detail tags.","NO","NO"
"스미스 머신 스쿼트","ex_fa3416f6","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","HEAVY_AXIAL_LOWER_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile HEAVY_AXIAL_LOWER_STRESS was applied with separate detail tags.","NO","NO"
