"section","metric","value"
"reviewDebtDecision","ANATOMY_SUPPORTED_TEMPLATE","20"
"reviewDebtDecision","READY_AFTER_HUMAN_APPROVAL","1"
"reviewDebtDecision","SOURCE_VERIFICATION_ONLY","36"
"reviewDebtDecision","SPORT_TRANSFER_REVIEW_REQUIRED","32"
"reviewDebtDecision","STRESS_REVIEW_REQUIRED","69"
"reviewDebtDecision","TEMPLATE_DEFINITION_REQUIRED","57"
"sourceReviewKind","NONE","56"
"sourceReviewKind","SOURCE_ONLY","36"
"sourceReviewKind","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","32"
"sourceReviewKind","SOURCE_PLUS_STRESS_REVIEW","52"
"sourceReviewKind","SOURCE_PLUS_TEMPLATE_DEFINITION","39"
"seedPatchReadiness","NOT_READY","20"
"seedPatchReadiness","READY_AFTER_HUMAN_APPROVAL","33"
"seedPatchReadiness","READY_AFTER_SOURCE_VERIFICATION","36"
"seedPatchReadiness","READY_AFTER_STRESS_REVIEW","69"
"seedPatchReadiness","READY_AFTER_TEMPLATE_DEFINITION","57"
"queue","human review rows","0"
"queue","accepted without human review","56"
"queue","source verification only","36"
"queue","template definition","57"
"queue","stress review","69"
"queue","sport transfer review","32"
"validation PASS","DEBT-001","Row count remains 215: 215"
"validation PASS","DEBT-002","Duplicate stableKey count: 0"
"validation PASS","DEBT-003","Rows with safeForSeedMutation not NO: 0"
"validation PASS","DEBT-004","Unanswered human review rows: 0"
"validation PASS","DEBT-005","Approved rows still rowManualReviewRequired: 0"
"validation PASS","DEBT-006","Approved rows still containing NEEDS_SUBTYPE_REVIEW: 0"
"validation PASS","DEBT-007","Source-only rows with invalid sourceReviewKind: 0"
"validation PASS","DEBT-008","Seed/app/schema/generator modified: NO"
