"recordType","category","name","count","exerciseName","stableKey","status","detail"
"SUMMARY","queue","previous_replacement","18","","","",""
"SUMMARY","queue","remaining_replacement","0","","","",""
"SUMMARY","queue","human_review","0","","","",""
"COUNT","sourceConfidenceLevel","ANATOMY_SUPPORTED","44","","","",""
"COUNT","sourceConfidenceLevel","HEURISTIC_ACCEPTED","6","","","",""
"COUNT","sourceConfidenceLevel","SOURCE_WEAK_BUT_ACCEPTABLE","25","","","",""
"COUNT","sourceConfidenceLevel","VERIFIED_EXACT","3","","","",""
"COUNT","sourceConfidenceLevel","VERIFIED_FAMILY","81","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_ANATOMY_SUPPORTED","44","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_HEURISTIC","6","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_VERIFIED_EXACT","3","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_VERIFIED_FAMILY","81","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","25","","","",""
"COUNT","finalSourceStatus","SOURCE_ACCEPTED","134","","","",""
"COUNT","finalSourceStatus","SOURCE_ACCEPTED_WITH_LIMITATION","25","","","",""
"CLOSURE","row","ACCEPT_ANATOMY_SUPPORTED","","푸시업","ex_28902b13","SOURCE_ACCEPTED","Accepted for broad bodyweight horizontal-push classification only. Bench/incline press evidence must not be treated as exact push-up evidence, and no exact push-up EMG or subtype-specific performance claim is made."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","원암 덤벨 로우","ex_30a0e9aa","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a non-inverted free-weight horizontal-row family classification based on practical bodybuilding/anatomy sources. Existing inverted-row evidence must not be treated as exact evidence for this subtype. Muscle contribution and subtype-specific loading remain app-internal heuristics."
"CLOSURE","row","ACCEPT_VERIFIED_FAMILY","","원암 머신 로우","ex_33d2da8e","SOURCE_ACCEPTED","Accepted as a machine or chest-supported row family classification using manufacturer and practical training sources. This supports broad movement-family and muscle-group metadata only; it does not claim exact EMG equivalence between different row machines or handles."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","케이블 원암 로우","ex_3c3692aa","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a cable horizontal-row / cable high-row family classification. Seated-row and machine-row practical sources support broad lats, rhomboids, traps, rear-deltoid and biceps involvement, but no exact subtype EMG claim is made."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","원암 케이블 하이 로우","ex_40fa57be","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a cable horizontal-row / cable high-row family classification. Seated-row and machine-row practical sources support broad lats, rhomboids, traps, rear-deltoid and biceps involvement, but no exact subtype EMG claim is made."
"CLOSURE","row","ACCEPT_VERIFIED_FAMILY","","체스트 서포티드 원암 로우","ex_462c760e","SOURCE_ACCEPTED","Accepted as a machine or chest-supported row family classification using manufacturer and practical training sources. This supports broad movement-family and muscle-group metadata only; it does not claim exact EMG equivalence between different row machines or handles."
"CLOSURE","row","ACCEPT_VERIFIED_FAMILY","","체스트 서포티드 원암 덤벨 로우","ex_6a966452","SOURCE_ACCEPTED","Accepted as a machine or chest-supported row family classification using manufacturer and practical training sources. This supports broad movement-family and muscle-group metadata only; it does not claim exact EMG equivalence between different row machines or handles."
"CLOSURE","row","ACCEPT_ANATOMY_SUPPORTED","","아처 푸시업","ex_73b0b63f","SOURCE_ACCEPTED","Accepted for broad bodyweight horizontal-push classification only. Bench/incline press evidence must not be treated as exact push-up evidence, and no exact push-up EMG or subtype-specific performance claim is made."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","Yates Row","ex_8e4bf08e","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a non-inverted free-weight horizontal-row family classification based on practical bodybuilding/anatomy sources. Existing inverted-row evidence must not be treated as exact evidence for this subtype. Muscle contribution and subtype-specific loading remain app-internal heuristics."
"CLOSURE","row","ACCEPT_VERIFIED_FAMILY","","체스트 서포티드 로우","ex_8e51640a","SOURCE_ACCEPTED","Accepted as a machine or chest-supported row family classification using manufacturer and practical training sources. This supports broad movement-family and muscle-group metadata only; it does not claim exact EMG equivalence between different row machines or handles."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","30초 반복 스매시 테스트","ex_91d8430b","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted only as an app-internal badminton overhead repeated-effort test marker. This does not claim validated test reliability, normative scoring, or causal performance prediction."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","시티드 원암 케이블 로우","ex_a76f20b6","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a cable horizontal-row / cable high-row family classification. Seated-row and machine-row practical sources support broad lats, rhomboids, traps, rear-deltoid and biceps involvement, but no exact subtype EMG claim is made."
