"RecordType","Id","Result","Detail"
"METRIC","ROW_COUNT","215","Pass 1 rows"
"METRIC","SOURCE_CONFIDENCE_BLANK_BEFORE","56","Blank sourceConfidenceLevel before"
"METRIC","SOURCE_CONFIDENCE_BLANK_AFTER","0","Blank sourceConfidenceLevel after"
"METRIC","FINAL_STATUS_BLANK_BEFORE","56","Blank finalSourceStatus before"
"METRIC","FINAL_STATUS_BLANK_AFTER","0","Blank finalSourceStatus after"
"BACKFILL_RULE","READY_AFTER_HUMAN_APPROVAL","1","Rows backfilled"
"BACKFILL_RULE","ANATOMY_SUPPORTED_TEMPLATE","38","Rows backfilled"
"BACKFILL_RULE","ACCEPTED_HEURISTIC","17","Rows backfilled"
"QUEUE","stress_blank_backfill_queue","146","Rows queued for later pass"
"QUEUE","badminton_transfer_blank_backfill_queue","183","Rows queued for later pass"
"QUEUE","movement_subtype_backfill_queue","27","Rows queued for later pass"
"QUEUE","program_slot_redundancy_backfill_queue","0","Rows queued for later pass"
"QUEUE","placeholder_normalization_queue","85","Rows queued for later pass"
"QUEUE","blocked_for_seed_candidate_queue","215","Rows queued for later pass"
"QUEUE","source_status_backfill_exception_queue","0","Rows queued for later pass"
"VALIDATION","PASS1-001","PASS","CSV rows=215; JSON rows=215"
"VALIDATION","PASS1-002","PASS","Duplicate stableKey count=0"
"VALIDATION","PASS1-003","PASS","Rows not safeForSeedMutation=NO: 0"
"VALIDATION","PASS1-004","PASS","Non-source changes=0; populated-source overwrites=0"
"VALIDATION","PASS1-005","PASS","Blank sourceConfidenceLevel after=0; exceptions=0"
"VALIDATION","PASS1-006","PASS","Blank finalSourceStatus after=0; exceptions=0"
"VALIDATION","PASS1-007","PASS","Rule-backed rows=56; exceptions=0"
"VALIDATION","PASS1-008","PASS","Stress fields were unchanged."
"VALIDATION","PASS1-009","PASS","Badminton-transfer fields were unchanged."
"VALIDATION","PASS1-010","PASS","movementSubtype/programSlot/redundancyGroup were unchanged."
"VALIDATION","PASS1-011","PASS","Full field coverage inventory exists."
"VALIDATION","PASS1-012","PASS","All later-pass queue files exist."
"VALIDATION","PASS1-013","PASS","Protected seed/app file changes=0"
"VALIDATION","PASS1-014","PASS","No app/Kotlin/Room/user DB/generator file was modified by this pass."
"VALIDATION","PASS1-015","PASS","No Gradle build or tests were run."
"VALIDATION","PASS1-016","PASS","No network access was used."
"VALIDATION","PASS1-017","PASS","No seed candidate or seed patch was generated."
