"exerciseName","stableKey","proposedMovementFamily","proposedMovementSubtype","proposalStatus","reviewDebtDecision","humanReviewQuestion","reviewDebtReason","sourceReviewKind","recommendedResolution","seedPatchReadiness","safeForSeedMutation"
"EZ바 컬","ex_8633d8db","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","EZ_BAR_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"다이아몬드 푸시업","ex_debf6a8b","PUSH_UP_VARIANTS","DIAMOND_PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"덤벨 래터럴 레이즈","ex_93538692","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DUMBBELL_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"덤벨 컬","ex_281347da","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DUMBBELL_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"디클라인 푸시업","ex_fb67af37","PUSH_UP_VARIANTS","DECLINE_PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"딥스","ex_6463edad","DIP_COMPOUND_PUSH_VARIANTS","COMPOUND_DIP","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"로프 해머 컬","ex_c1a81cb2","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","ROPE_HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리닝 래터럴 레이즈","ex_70f19bf","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","LEANING_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리버스 컬","ex_dd2f732e","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","REVERSE_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리어델트 케이블 플라이","ex_7deabeba","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_CABLE_FLY","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리어델트 플라이","ex_7176cbee","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_FLY","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"밴드 외회전","ex_e8ff8cfa","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","BAND_EXTERNAL_ROTATION","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"스파이더 컬","ex_516f4456","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","SPIDER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
