"recordType","category","name","count","exerciseName","stableKey","question","status"
"SUMMARY","final","accepted","126","","","",""
"SUMMARY","final","accepted_with_limitation","15","","","",""
"SUMMARY","final","replacement","18","","","",""
"SUMMARY","final","human_review","0","","","",""
"COUNT","sourceConfidenceLevel","ANATOMY_SUPPORTED","40","","","",""
"COUNT","sourceConfidenceLevel","HEURISTIC_ACCEPTED","6","","","",""
"COUNT","sourceConfidenceLevel","NEEDS_SOURCE","18","","","",""
"COUNT","sourceConfidenceLevel","SOURCE_WEAK_BUT_ACCEPTABLE","15","","","",""
"COUNT","sourceConfidenceLevel","VERIFIED_EXACT","3","","","",""
"COUNT","sourceConfidenceLevel","VERIFIED_FAMILY","77","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_ANATOMY_SUPPORTED","40","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_HEURISTIC","6","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_VERIFIED_EXACT","3","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_VERIFIED_FAMILY","77","","","",""
"COUNT","sourceVerificationDecision","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","15","","","",""
"COUNT","sourceVerificationDecision","NEEDS_SOURCE_REPLACEMENT","18","","","",""
"COUNT","finalSourceStatus","SOURCE_ACCEPTED","126","","","",""
"COUNT","finalSourceStatus","SOURCE_ACCEPTED_WITH_LIMITATION","15","","","",""
"COUNT","finalSourceStatus","SOURCE_NEEDS_REPLACEMENT","18","","","",""
"VALIDATION","check","SOURCE-001","","","","Row count: 215","PASS"
"VALIDATION","check","SOURCE-002","","","","Duplicate stableKey count: 0","PASS"
"VALIDATION","check","SOURCE-003","","","","Rows not safeForSeedMutation=NO: 0","PASS"
"VALIDATION","check","SOURCE-004","","","","No seed file was modified.","PASS"
"VALIDATION","check","SOURCE-005","","","","No app, Kotlin, Room, user DB, or generator file was modified.","PASS"
"VALIDATION","check","SOURCE-006","","","","No Gradle build was run.","PASS"
"VALIDATION","check","SOURCE-007","","","","No tests were run.","PASS"
"VALIDATION","check","SOURCE-008","","","","No broad discovery search was run.","PASS"
"VALIDATION","check","SOURCE-009","","","","Processed rows missing confidence: 0","PASS"
"VALIDATION","check","SOURCE-010","","","","Processed rows missing decision: 0","PASS"
"VALIDATION","check","SOURCE-011","","","","Processed rows missing final status: 0","PASS"
"VALIDATION","check","SOURCE-012","","","","Ordinary exercises are not unresolved solely for lack of exact papers.","PASS"
"VALIDATION","check","SOURCE-013","","","","Accepted DIRECT rows without support: 0","PASS"
"VALIDATION","check","SOURCE-014","","","","Ordinary strength rows marked DIRECT: 0","PASS"
"VALIDATION","check","SOURCE-015","","","","No automatic seed mutation is authorized.","PASS"
