"RecordType","Id","Result","Detail"
"METRIC","INPUT_ROWS","215","Sidecar rows"
"METRIC","STRESS_BLANK_ROWS_BEFORE","146","Rows with any blank stress field before"
"METRIC","STRESS_BLANK_ROWS_AFTER","5","Blocked rows with remaining blanks"
"METRIC","STRESS_BACKFILLED_ROWS","141","Rows backfilled"
"METRIC","STRESS_BLOCKED_ROWS","5","Rows blocked"
"PRIMARY_PROFILE","ISOLATION_ACCESSORY_STRESS","45","Backfilled rows"
"PRIMARY_PROFILE","COURT_SPORT_MOVEMENT_STRESS","18","Backfilled rows"
"PRIMARY_PROFILE","OVERHEAD_PUSH_STRESS","14","Backfilled rows"
"PRIMARY_PROFILE","UNILATERAL_LOWER_STABILITY_STRESS","11","Backfilled rows"
"PRIMARY_PROFILE","LOW_LOAD_PREHAB_CONTROL_STRESS","8","Backfilled rows"
"PRIMARY_PROFILE","ISOMETRIC_CORE_BRACING_STRESS","7","Backfilled rows"
"PRIMARY_PROFILE","ANKLE_SSC_REACTIVE_STRESS","7","Backfilled rows"
"PRIMARY_PROFILE","HORIZONTAL_PUSH_STRESS","7","Backfilled rows"
"PRIMARY_PROFILE","CARDIO_CONDITIONING_STRESS","6","Backfilled rows"
"PRIMARY_PROFILE","BODYWEIGHT_PUSH_STRESS","4","Backfilled rows"
"PRIMARY_PROFILE","DYNAMIC_CORE_FLEXION_STRESS","4","Backfilled rows"
"PRIMARY_PROFILE","MACHINE_LOWER_BODY_STRESS","2","Backfilled rows"
"PRIMARY_PROFILE","MOBILITY_RECOVERY_STRESS","2","Backfilled rows"
"PRIMARY_PROFILE","LOADED_CARRY_BRACING_STRESS","1","Backfilled rows"
"PRIMARY_PROFILE","OVERHEAD_RACKET_STRESS","1","Backfilled rows"
"PRIMARY_PROFILE","COURT_SKILL_COGNITIVE_STRESS","1","Backfilled rows"
"PRIMARY_PROFILE","HINGE_POSTERIOR_CHAIN_STRESS","1","Backfilled rows"
"PRIMARY_PROFILE","DIP_PUSH_STRESS","1","Backfilled rows"
"PRIMARY_PROFILE","LUNGE_DECELERATION_STRESS","1","Backfilled rows"
"DECISION","DERIVED_FROM_MOVEMENT_FAMILY","121","Rows by backfill decision"
"DECISION","DERIVED_FROM_PROGRAM_SLOT","11","Rows by backfill decision"
"DECISION","DERIVED_FROM_PROPOSED_FATIGUE_PROFILE","9","Rows by backfill decision"
"DECISION","DERIVED_FROM_CURRENT_METADATA","0","Rows by backfill decision"
"DECISION","NOT_APPLICABLE_STRESS","0","Rows by backfill decision"
"DECISION","USE_EXISTING_FATIGUE_FALLBACK","0","Rows by backfill decision"
"DECISION","BLOCKED_FOR_STRESS_BACKFILL","5","Rows by backfill decision"
"VALIDATION","PASS2-001","PASS","CSV rows=215; JSON rows=215"
"VALIDATION","PASS2-002","PASS","Duplicate stableKey=0"
"VALIDATION","PASS2-003","PASS","Rows not safeForSeedMutation=NO: 0"
"VALIDATION","PASS2-004","PASS","Non-stress changes=0"
"VALIDATION","PASS2-005","PASS","Blank source confidence=0; blank final source=0; source changes=0"
"VALIDATION","PASS2-006","PASS","Populated stress overwrites=0"
"VALIDATION","PASS2-007","PASS","Queue=146; backfilled=141; blocked=5; missing=0; unlogged=0"
"VALIDATION","PASS2-008","PASS","Stress placeholder values=0"
"VALIDATION","PASS2-009","PASS","Unapproved primary profiles=0"
"VALIDATION","PASS2-010","PASS","Unapproved recovery decay values=0"
"VALIDATION","PASS2-011","PASS","Unapproved magnitude values=0"
"VALIDATION","PASS2-012","PASS","Non-stress fields were not modified."
"VALIDATION","PASS2-013","PASS","Protected files changed=0"
"VALIDATION","PASS2-014","PASS","No app/Kotlin/Room/user DB/generator file was modified."
"VALIDATION","PASS2-015","PASS","No Gradle build or tests were run."
"VALIDATION","PASS2-016","PASS","No network access was used."
"VALIDATION","PASS2-017","PASS","No seed candidate or seed patch was generated."
"VALIDATION","PASS2-018","PASS","Updated coverage inventory exists."
