"recordType","item","value","exerciseName","stableKey","templateKey","status"
"SUMMARY","rows_before","215","","","",""
"SUMMARY","rows_after","215","","","",""
"SUMMARY","remaining_template_queue","0","","","",""
"SUMMARY","remaining_source_verification_queue","159","","","",""
"SUMMARY","ready_after_template_gap","4","","","",""
"SUMMARY","unmapped_or_conflict","0","","","",""
"MAPPING","approved_template","DUMBBELL_BENCH_PRESS","덤벨 벤치프레스","ex_3a7d3eda","HORIZONTAL_PRESS_VARIANTS","READY_AFTER_TEMPLATE_GAP"
"MAPPING","approved_template","MOUNTAIN_CLIMBER","마운틴 클라이머","ex_a9b52886","BODYWEIGHT_CONDITIONING_CORE","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","BODYWEIGHT_SQUAT","맨몸 스쿼트","ex_cb3c4dc2","BODYWEIGHT_SQUAT_PATTERN","READY_AFTER_TEMPLATE_GAP"
"MAPPING","approved_template","MACHINE_CHEST_PRESS","머신 체스트프레스","ex_1dbee10e","HORIZONTAL_PRESS_VARIANTS","READY_AFTER_TEMPLATE_GAP"
"MAPPING","approved_template","MINIBAND_SIDEWALK","미니밴드 사이드워크","ex_16b298db","HIP_ABDUCTION_GLUTE_MED_ACCESSORY","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","SUPERMAN","슈퍼맨","ex_284ecca6","POSTERIOR_CHAIN_LOW_LOAD_CONTROL","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","STRAIGHT_ARM_PULLDOWN","스트레이트암 풀다운","ex_ca5cce66","LAT_STRAIGHT_ARM_PULLDOWN_ACCESSORY","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","ONE_ARM_STRAIGHT_ARM_PULLDOWN","원암 스트레이트암 풀다운","ex_c365e5e2","LAT_STRAIGHT_ARM_PULLDOWN_ACCESSORY","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","WALL_SIT","월싯","ex_64661229","ISOMETRIC_LOWER_BODY_HOLD","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","INCLINE_DUMBBELL_PRESS","인클라인 덤벨 프레스","ex_a61f1e96","HORIZONTAL_PRESS_VARIANTS","READY_AFTER_TEMPLATE_GAP"
"MAPPING","approved_template","CABLE_KICKBACK","케이블 킥백","ex_fa34ddfe","GLUTE_ISOLATION_ACCESSORY","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","TURKISH_GETUP","터키시 겟업","ex_91f6958d","TURKISH_GETUP_TOTAL_BODY_STABILITY","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","HIP_ADDUCTION_MACHINE_OR_CABLE","힙 어덕션","ex_eaea872c","HIP_ADDUCTION_ACCESSORY","SOURCE_VERIFICATION_REMAINS"
"MAPPING","approved_template","HIP_ABDUCTION_MACHINE","힙 어브덕션","ex_728da646","HIP_ABDUCTION_GLUTE_MED_ACCESSORY","SOURCE_VERIFICATION_REMAINS"
"VALIDATION","TEMPLATE-GAP-001","Row count: 215","","","","PASS"
"VALIDATION","TEMPLATE-GAP-002","Duplicate stableKey count: 0","","","","PASS"
"VALIDATION","TEMPLATE-GAP-003","Rows not safeForSeedMutation=NO: 0","","","","PASS"
"VALIDATION","TEMPLATE-GAP-004","Found: 14; missing: 0","","","","PASS"
"VALIDATION","TEMPLATE-GAP-005","All found target rows use their approved templateKey.","","","","PASS"
"VALIDATION","TEMPLATE-GAP-006","Remaining template queue: 0","","","","PASS"
"VALIDATION","TEMPLATE-GAP-007","No seed file was read or modified.","","","","PASS"
"VALIDATION","TEMPLATE-GAP-008","No app, Kotlin, Room, user DB, or generator file was read or modified.","","","","PASS"
"VALIDATION","TEMPLATE-GAP-009","No Gradle build was run.","","","","PASS"
"VALIDATION","TEMPLATE-GAP-010","No tests were run.","","","","PASS"
"VALIDATION","TEMPLATE-GAP-011","No network access was used.","","","","PASS"
"VALIDATION","TEMPLATE-GAP-012","No broad local, Drive, or repository discovery search was run.","","","","PASS"
