slot,candidates,strongPrimary,secondary,weakMetadata,legacyFallback,nameFallback,coverageStrength
LOWER_SQUAT_PATTERN,24,24,0,0,0,0,ADEQUATE
HIP_HINGE_POSTERIOR_CHAIN,15,15,0,0,0,0,ADEQUATE
UPPER_PULL_ANCHOR,24,24,0,0,0,0,ADEQUATE
UPPER_PUSH_SUPPORT,14,12,2,0,0,0,ADEQUATE
SINGLE_LEG_STRENGTH_CONTROL,59,7,37,15,0,0,ADEQUATE
TRUNK_ANTI_ROTATION_STABILITY,51,11,34,6,0,0,ADEQUATE
SCAPULAR_SHOULDER_SUPPORT,58,4,50,4,0,0,ADEQUATE
CALF_ANKLE_CAPACITY,24,5,13,6,0,0,ADEQUATE
BADMINTON_DECEL_COD,34,8,26,0,0,0,ADEQUATE
BADMINTON_FOOTWORK_REACTION,19,18,1,0,0,0,ADEQUATE
ATHLETIC_OVERHEAD_PRESS_SUPPORT,14,14,0,0,0,0,ADEQUATE
ROTATIONAL_KINETIC_CHAIN,3,3,0,0,0,0,WEAK
FOREARM_GRIP_ELBOW_SUPPORT,48,9,30,9,0,0,ADEQUATE
OVERHEAD_SMASH_SUPPORT,0,0,0,0,0,0,ZERO
POWER_REACTIVE_LOW_VOLUME,34,14,20,0,0,0,ADEQUATE
RECOVERY_PREHAB_LIGHT,10,1,8,1,0,0,WEAK
ACCESSORY_ROTATION,100,39,61,0,0,0,ADEQUATE
