templateId,example,week,weekType,day,order,requestedSlot,requiredAnchor,role,exerciseName,stableKey,rehabLike,badmintonTransfer,stressMagnitude,capabilitySource,capabilityConfidence
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","1","1","LOWER_SQUAT_PATTERN","true","ANCHOR","런지","ex_64644b5e","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","1","2","HIP_HINGE_POSTERIOR_CHAIN","false","SUPPORT","킥스탠스 RDL","ex_885b629","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","1","3","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","할로우 바디 홀드","ex_2a826c82","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","1","4","CALF_ANKLE_CAPACITY","false","SUPPORT","시티드 카프 레이즈","ex_5c8751d2","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","3","1","UPPER_PULL_ANCHOR","true","ANCHOR","원암 케이블 하이 로우","ex_40fa57be","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","3","2","UPPER_PUSH_SUPPORT","false","SUPPORT","다이아몬드 푸시업","ex_debf6a8b","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","3","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","리어델트 플라이","ex_7176cbee","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","3","4","FOREARM_GRIP_ELBOW_SUPPORT","false","ACCESSORY","덤벨 프로네이션/수피네이션","ex_f6703b06","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","5","1","HIP_HINGE_POSTERIOR_CHAIN","true","ANCHOR","B-스탠스 RDL","ex_201f6426","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","5","2","SINGLE_LEG_STRENGTH_CONTROL","false","SUPPORT","래터럴 스텝다운","ex_69a56484","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","5","3","BADMINTON_FOOTWORK_REACTION","false","TRANSFER","가벼운 콕줍기","ex_216351a1","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","5","4","BADMINTON_DECEL_COD","false","TRANSFER","랜덤 방향전환 드릴","ex_64422511","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","1","ADAPT","5","5","POWER_REACTIVE_LOW_VOLUME","false","TRANSFER","B스킵","ex_a12de4d2","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","1","1","LOWER_SQUAT_PATTERN","true","ANCHOR","원레그 핵 스쿼트","ex_f1d31d3d","false","GENERAL","HIGH","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","1","2","HIP_HINGE_POSTERIOR_CHAIN","false","SUPPORT","글루트 브릿지","ex_389920ab","false","GENERAL","MODERATE","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","1","3","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","팔로프 프레스","ex_99728d25","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","1","4","CALF_ANKLE_CAPACITY","false","SUPPORT","린단 참고 트랙 스프린트","ex_4773b6ea","false","GENERAL","HIGH","RUNTIME_METADATA","MODERATE"
"STANDARD_3D_4W_70_30","3 days / 4 weeks / 70:30 / Standard","2","BUILD","3","1","UPPER_PULL_ANCHOR","true","ANCHOR","스캡 풀업","ex_e1894690","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
