slot,coverageMode,directCandidates,strongPrimary,secondary,weakMetadata,legacyFallback,nameFallback,derivedComponents,representedDerivedComponents,derivedContributors,status
"LOWER_SQUAT_PATTERN","DIRECT","24","24","0","0","0","0","","","0","ADEQUATE"
"HIP_HINGE_POSTERIOR_CHAIN","DIRECT","17","15","2","0","0","0","","","0","ADEQUATE"
"UPPER_PULL_ANCHOR","DIRECT","24","24","0","0","0","0","","","0","ADEQUATE"
"UPPER_PUSH_SUPPORT","DIRECT","14","12","2","0","0","0","","","0","ADEQUATE"
"SINGLE_LEG_STRENGTH_CONTROL","DIRECT","60","7","38","15","0","0","","","0","ADEQUATE"
"TRUNK_ANTI_ROTATION_STABILITY","DIRECT","70","12","52","6","0","0","","","0","ADEQUATE"
"SCAPULAR_SHOULDER_SUPPORT","DIRECT","64","7","53","4","0","0","","","0","ADEQUATE"
"CALF_ANKLE_CAPACITY","DIRECT","24","5","13","6","0","0","","","0","ADEQUATE"
"BADMINTON_DECEL_COD","DIRECT","34","8","26","0","0","0","","","0","ADEQUATE"
"BADMINTON_FOOTWORK_REACTION","DIRECT","19","18","1","0","0","0","","","0","ADEQUATE"
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","DIRECT","14","14","0","0","0","0","","","0","ADEQUATE"
"ROTATIONAL_KINETIC_CHAIN","DIRECT","18","17","1","0","0","0","","","0","ADEQUATE"
"FOREARM_GRIP_ELBOW_SUPPORT","DIRECT","59","9","35","15","0","0","","","0","ADEQUATE"
"OVERHEAD_SMASH_SUPPORT","DERIVED_UMBRELLA","0","0","0","0","0","0","ATHLETIC_OVERHEAD_PRESS_SUPPORT|FOREARM_GRIP_ELBOW_SUPPORT|ROTATIONAL_KINETIC_CHAIN|SCAPULAR_SHOULDER_SUPPORT|TRUNK_ANTI_ROTATION_STABILITY","ATHLETIC_OVERHEAD_PRESS_SUPPORT|FOREARM_GRIP_ELBOW_SUPPORT|ROTATIONAL_KINETIC_CHAIN|SCAPULAR_SHOULDER_SUPPORT|TRUNK_ANTI_ROTATION_STABILITY","123","ADEQUATE"
"POWER_REACTIVE_LOW_VOLUME","DIRECT","36","16","20","0","0","0","","","0","ADEQUATE"
"RECOVERY_PREHAB_LIGHT","DIRECT","11","1","10","0","0","0","","","0","ADEQUATE"
"ACCESSORY_ROTATION","DIRECT","100","39","61","0","0","0","","","0","ADEQUATE"
