koreanTemplate,englishTemplate,provenance,sourcePath
${}년 ${}월 ${}일 ${}요일,"%2$s %3$s, %1$s (%4$s)",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
${}: ${} 외 ${}개,%1$s: %2$s and %3$s more,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
"${} 완료: profile ${}, daily ${}, check-in ${}, entry ${}, set ${}, program ${}, program item ${}, program item set ${}, program tombstone ${}, skip ${}","%1$s complete: profile %2$s, daily %3$s, check-in %4$s, entry %5$s, set %6$s, program %7$s, program item %8$s, program item set %9$s, program tombstone %10$s, skip %11$s",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt
${} 선택됨,%1$s selected,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisDetailScreens.kt
진단 코드: ${},Diagnostic code: %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
이전 중앙값 대비 현재 추정 범위 ${},Current estimate range versus the previous median: %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
관련 세션 ${} · 직접 1RM ${} · RPE 확률 관측 ${} · 강한 nRM ${} · 프록시 혁신 ${} · 실패 ${},Relevant sessions %1$s · direct 1RM %2$s · RPE likelihood observations %3$s · strong nRM %4$s · proxy innovations %5$s · failures %6$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
성장률 ${} · 이전 ${} · 현재 ${},Growth %1$s · previous %2$s · current %3$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
${}주 ${}일 예상 ${}분이 시간 예산 ${}분을 초과합니다.,Week %1$s day %2$s estimated duration of %3$s min exceeds the %4$s min time budget.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
"기록 백업 완료: profile ${}, daily ${}, check-in ${}, entry ${}, set ${}, program ${}, program item ${}, program item set ${}, program tombstone ${}, skip ${}","Backup complete: profile %1$s, daily %2$s, check-in %3$s, entry %4$s, set %5$s, program %6$s, program item %7$s, program item set %8$s, program tombstone %9$s, skip %10$s",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt
"기록 복원 완료: profile ${}, daily ${}, check-in ${}, entry ${}, set ${}, program ${}, program item ${}, program item set ${}, program tombstone ${}, skip ${}","Restore complete: profile %1$s, daily %2$s, check-in %3$s, entry %4$s, set %5$s, program %6$s, program item %7$s, program item set %8$s, program tombstone %9$s, skip %10$s",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt
${}년 ${}월 ${}주,Month %2$s · Week %3$s · %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
"${}월
${}주","Month %1$s
Week %2$s",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
외 ${}개 선택됨,%1$s more selected,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/MuscleBucketSelection.kt
외 ${}개,%1$s more,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
관련 세션 ${} · 직접 1RM ${} · ,Relevant sessions %1$s · direct 1RM %2$s · ,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
RPE 확률 관측 ${} · 강한 nRM ${} · ,RPE likelihood observations %1$s · strong nRM %2$s · ,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
성장률 ${} · 이전 ${} · ,Growth %1$s · previous %2$s · ,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
"\n진단 코드: ${}","\nDiagnostic code: %1$s",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
${}주 ${}일 예상 ${}분이 ,Week %1$s day %2$s estimated duration of %3$s min ,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
