korean,english,provenance,sourcePath
"최근 기록만으로는 낮은 반복·고중량 훈련이 부족한 것인지, 의도적으로 피하는 것인지 구분하기 어렵습니다. 앞으로 저항훈련에서 근력 향상을 어느 정도 원하나요?",Recent records cannot distinguish insufficient low-rep heavy training from deliberate avoidance. How much strength improvement do you want from resistance training?,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
근비대만 우선,Prioritize hypertrophy only,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
근비대 + 근력,Hypertrophy + strength,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
근력 우선,Prioritize strength,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
최근 28일 저항운동 기록이 없어 균형 잡힌 재진입 구조를 사용합니다.,"No resistance training was recorded in the last 28 days, so a balanced re-entry structure is used.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
배드민턴 계획 의도는 활성화됐지만 최근 구조화 훈련 기록이 없어 기초 온램프를 사용합니다.,"Badminton planning is enabled, but no recent structured training was recorded, so a foundational on-ramp is used.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
고중량은 의도적으로 피하고 싶음,I want to avoid heavy loading,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
잘 모르겠음,Not sure,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
배드민턴 경기력 향상을 위한 구조화 훈련을 프로그램에 포함할까요?,Include structured training for badminton performance?,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
포함,Include,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
포함하지 않음,Do not include,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
낮은 강도의 프리웨이트 또는 편측 운동을 새 자극으로 포함해도 될까요?,May the plan include low-intensity free-weight or unilateral work as a new stimulus?,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
포함 가능,May include,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
피하고 싶음,Prefer to avoid,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
배드민턴 의도는 활성화됐지만 구조화 훈련 기록이 없어 기초 온램프가 필요합니다.,Badminton planning is enabled but there is no structured history so a foundational on-ramp is needed.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
고중량 선호가 미해결이어서 새로운 고중량 특화를 추가하지 않은 임시 계획입니다.,Heavy-load preference is unresolved so this provisional plan does not add new heavy specialization.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
