stableKey,korean,english,provenance,source
3,배드민턴 웨이트 보조 4주,Badminton Strength Support - 4 Weeks,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
4,일반 스트렝스 4주 블록,General Strength - 4-Week Block,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
5,보디빌딩 3일 스플릿,Bodybuilding 3-Day Split,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
6,보디빌딩 4일 스플릿,Bodybuilding 4-Day Split,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
7,보디빌딩 5일 스플릿,Bodybuilding 5-Day Split,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
8,배드민턴 최적화 4주 스플릿,Badminton Optimization - 4-Week Split,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
9,기능성+스트렝스 최대측정주,Functional and Strength Max-Test Week,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
10,스트렝스 최대측정주,Strength Max-Test Week,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
11,초보자 스트렝스 4주 기초,Beginner Strength Foundations - 4 Weeks,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
12,초보자 보디빌딩 4주 머신+복합,Beginner Bodybuilding Machines and Compounds - 4 Weeks,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
13,초보자 기능성 안정화 4주,Beginner Functional Stability - 4 Weeks,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
14,초보자 러닝 보조 4주,Beginner Running Support - 4 Weeks,CODEX_GENERATED_ENGLISH,training_settings_seed.csv
